時間,軸1,軸2,軸3,軸4,軸5,軸6
091801,ONM,ONM,ONM,ONM,ONM,ONM,
091958,ONM,ONM,ONM,02695NM,2886NM,2685NM,
092050,2779NM,3134NM,ONM,ONM,ONM,ONM,
092119,ONM,ONM,ONM,ONM,ONM,ONM,
092150,ONM,ONM,ONM,ONM,ONM,02710NM,
092216,2878NM,2712NM,2844NM,3104NM,ONM,ONM,
092300,ONM,ONM,ONM,ONM,ONM,ONM,
092324,ONM,10?????z???.&6?nN?Hk
RH?&'L&Hj
RH?02D02708NM,2892NM,2714NM,2802NM,3100NM,
092351,ONM,26?*????????D93 ONM,ONM,ONM,ONM,ONM,
092412,ONM,ONM,ONM,ONM,ONM,ONM,
092438,ONM,ONM,ONM,02693NM,2884NM,2674NM,
093609,2817NM,3115NM,ONM,ONM,ONM,ONM,
093643,2NM,ONM,ONM,ONM,ONM,ONM,
093711,ONM,ONM,ONM,02737NM,2869NM,2684NM,
093802,2802NM,3075NM,ONM,2NM,ONM,ONM,
093837,ONM,ONM,ONM,ONM,ONM,ONM,
093914,ONM,ONM,ONM,02678NM,2894NM,2687NM,
094009,2789NM,3134NM,ONM,ONM,ONM,ONM,
094040,2NM,ONM,ONM,1NM,ONM,1NM,
094124,ONM,ONM,02684NM,2876NM,2733NM,2781NM,
094153,3096NM,ONM,ONM,ONM,ONM,ONM,
094232,ONM,ONM,ONM,ONM,ONM,ONM,
094453,ONM,ONM,ONM,02701NM,2897NM,2689NM,
094518,2796NM,3147NM,ONM,ONM,1NM,ONM,
094543,ONM,ONM,ONM,ONM,ONM,ONM,
094619,ONM,ONM,ONM,ONM,ONM,02703NM,
094645,2890NM,2699NM,2785NM,3067NM,ONM,ONM,
094733,ONM,ONM,ONM,ONM,ONM,ONM,
094801,ONM,ONM,ONM,ONM,ONM,ONM,
094825,ONM,ONM,02680NM,2916NM,2678NM,2785NM,
102321,3075NM,ONM,ONM,ONM,ONM,ONM,
102342,ONM,ONM,ONM,02739NM,2905NM,2705NM,
102528,2777NM,3071NM,ONM,ONM,ONM,ONM,
102551,ONM,ONM,ONM,ONM,ONM,ONM,
102635,ONM,02691NM,2878NM,2693NM,2771NM,3100NM,
102744,ONM,ONM,ONM,ONM,ONM,ONM,
102833,????{???????????/??ZH?&???j
RH?02D02695NM,2886NM,2682NM,2756NM,3077NM,ONM,
102904,ONM,ONM,ONM,ONM,ONM,ONM,
