時間,軸1,軸2,軸3,軸4,軸5,軸6
092450,2878NM,2886NM,3018NM,2892NM,2874NM,3128NM,
092644,2899NM,2876NM,2979NM,2905NM,2926NM,3159NM,
092735,2869NM,2869NM,2976NM,2897NM,2886NM,3083NM,
092827,2882NM,2878NM,2983NM,2873NM,2892NM,3121NM,
092912,2886NM,2880NM,2993NM,2882NM,2880NM,3071NM,
092959,2880NM,2899NM,2981NM,2943NM,2878NM,3086NM,
105228,2895NM,2892NM,2976NM,2882NM,2880NM,3121NM,
105313,2876NM,2884NM,2981NM,2905NM,2899NM,3067NM,
105431,2907NM,2882NM,2985NM,2884NM,2888NM,3130NM,
105530,2884NM,2890NM,2978NM,2880NM,2867NM,3104NM,
105625,2890NM,2899NM,2989NM,2878NM,2888NM,3081NM,
105712,2884NM,2878NM,2999NM,2907NM,2895NM,3063NM,
112231,2884NM,2874NM,3000NM,2911NM,2882NM,3125NM,
112315,2890NM,2903NM,2970NM,2937NM,2916NM,3086NM,
113124,2892NM,2890NM,3000NM,2901NM,2884NM,3125NM,
141303,2895NM,2907NM,3092NM,2943NM,3102NM,3115NM,
141359,2907NM,2939NM,3170NM,2985NM,3081NM,3157NM,
141615,2907NM,2880NM,3092NM,2962NM,3149NM,3184NM,
141741,2918NM,2937NM,3096NM,2993NM,3094NM,3149NM,
141841,2899NM,2966NM,3132NM,2915NM,3100NM,3098NM,
142258,2962NM,2913NM,3184NM,2901NM,3088NM,3172NM,
142419,2920NM,2928NM,3157NM,2916NM,3121NM,3216NM,
142852,2958NM,2991NM,3123NM,2970NM,3119NM,3186NM,
143132,2903NM,2894NM,3083NM,2901NM,3117NM,3153NM,
143407,2924NM,2876NM,3151NM,2958NM,3079NM,3155NM,
143523,2932NM,2894NM,3182NM,2905NM,3155NM,3165NM,
143651,2907NM,2878NM,3136NM,2949NM,3084NM,3155NM,
143847,2960NM,2928NM,3191NM,2899NM,3098NM,3176NM,
144049,2911NM,2907NM,3132NM,2957NM,3125NM,3147NM,
144315,2905NM,2901NM,3107NM,2945NM,3104NM,3168NM,
144539,2890NM,2894NM,3140NM,2926NM,3163NM,3168NM,
144921,2NM,2915NM,3146NM,2905NM,3178NM,3073NM,
