時間,軸1,軸2,軸3,軸4,軸5,軸6
100327,2680NM,2705NM,2705NM,2773NM,2769NM,0000NM,
101519,2689NM,2731NM,2747NM,2685NM,2768NM,0000NM,
103753,2706NM,2703NM,2720NM,2756NM,2716NM,2790NM,
104212,2710NM,2693NM,2737NM,2764NM,2739NM,0000NM,
104831,2701NM,2701NM,2741NM,2718NM,2701NM,2731NM,
104938,2706NM,2766NM,2743NM,2718NM,2693NM,0000NM,
105406,2697NM,2712NM,2789NM,2754NM,2697NM,0000NM,
105644,2787NM,2687NM,2735NM,2712NM,2684NM,0000NM,
105903,2727NM,2697NM,2754NM,2729NM,2729NM,0000NM,
110153,2693NM,2773NM,2685NM,2798NM,2705NM,2697NM,
110621,2712NM,2760NM,2691NM,2789NM,2687NM,0000NM,
110914,2747NM,2781NM,2689NM,2664NM,2689NM,2693NM,
132414,2758NM,2747NM,2697NM,2682NM,2670NM,2691NM,
133236,2708NM,2720NM,2697NM,2699NM,2685NM,0000NM,
