時間,軸1,軸2,軸3,軸4,軸5,軸6
154801,2836NM,2781NM,2852NM,2817NM,2939NM,3035NM,
154823,2844NM,2790NM,2848NM,2747NM,2958NM,3031NM,
155050,2823NM,2821NM,2836NM,2842NM,2926NM,3084NM,
155240,2842NM,2781NM,2834NM,2844NM,2953NM,3021NM,
155344,2821NM,2808NM,2894NM,2855NM,2920NM,3090NM,
155442,2848NM,2829NM,2874NM,2852NM,3010NM,3058NM,
155651,2871NM,2861NM,2859NM,2815NM,3016NM,2999NM,
161616,2865NM,2838NM,2850NM,2871NM,2981NM,3056NM,
161646,2884NM,2844NM,2840NM,2871NM,2953NM,3065NM,
161713,2873NM,2813NM,2880NM,2852NM,2970NM,3083NM,
161800,2840NM,2848NM,2886NM,2897NM,2941NM,3035NM,
161837,2850NM,2800NM,2821NM,2804NM,2964NM,3044NM,
161927,2911NM,2888NM,2825NM,2773NM,2985NM,3033NM,
161951,2882NM,2825NM,2865NM,2819NM,3023NM,3002NM,
163046,2769NM,2876NM,2808NM,2983NM,3044NM,
163057,2852NM,2800NM,2810NM,2836NM,2928NM,3031NM,
163136,2888NM,2794NM,2832NM,2794NM,2999NM,3052NM,
163214,2852NM,2838NM,2873NM,0000NM,2920NM,3033NM,
163307,2811NM,2876NM,2846NM,2968NM,3060NM,
163325,2852NM,2802NM,2926NM,2848NM,2968NM,0000NM,
173628,2876NM,2794NM,2840NM,2834NM,2951NM,3067NM,
173645,2882NM,2869NM,2855NM,2827NM,2955NM,3008NM,
173753,2825NM,2790NM,2852NM,2831NM,2997NM,2997NM,
173825,2840NM,2859NM,2859NM,2792NM,2930NM,3002NM,
173928,2836NM,2840NM,2850NM,2844NM,2930NM,3020NM,
173956,2825NM,2806NM,2852NM,2804NM,2972NM,3048NM,
174046,2880NM,2794NM,2855NM,2861NM,2953NM,3060NM,
174222,2863NM,2810NM,2861NM,2790NM,2943NM,3054NM,
174325,2850NM,2869NM,2829NM,2859NM,2964NM,3050NM,
174358,2913NM,2848NM,2884NM,2865NM,2951NM,3025NM,
174458,2838NM,2829NM,2886NM,2852NM,2981NM,3071NM,
174911,2836NM,2811NM,2873NM,2771NM,2928NM,0000NM,
175319,2844NM,2800NM,2829NM,2861NM,2947NM,3071NM,
175349,2857NM,2792NM,2859NM,2882NM,2985NM,3023NM,
175452,2825NM,2798NM,2909NM,2817NM,3016NM,3071NM,
175521,2869NM,2848NM,2827NM,2838NM,2957NM,3065NM,
183758,2922NM,2810NM,2897NM,2886NM,2964NM,3065NM,
183828,2895NM,2813NM,2848NM,2810NM,2993NM,3039NM,
184011,2844NM,2789NM,2915NM,2811NM,3000NM,3018NM,
184037,2895NM,2787NM,2857NM,2808NM,3044NM,2983NM,
184107,2831NM,2810NM,2832NM,2850NM,2968NM,3037NM,
184238,2892NM,2821NM,2865NM,2855NM,2928NM,3054NM,
184300,2850NM,2798NM,2861NM,2876NM,2916NM,3046NM,
184715,2890NM,2802NM,2907NM,2855NM,3010NM,2983NM,
184741,2844NM,2825NM,2878NM,2836NM,2932NM,3069NM,
184854,2905NM,2882NM,0000NM,2861NM,2951NM,3083NM,
191354,2876NM,2806NM,2878NM,2850NM,0000NM,3037NM,
191739,2823NM,2842NM,2850NM,2802NM,2955NM,3056NM,
191818,2890NM,2831NM,2825NM,2848NM,2928NM,3004NM,
191848,2888NM,2811NM,2895NM,2802NM,2920NM,3044NM,
191955,2853NM,2787NM,2873NM,2880NM,2926NM,3102NM,
192022,2905NM,2869NM,2892NM,2873NM,3046NM,3062NM,
192216,2878NM,2867NM,2832NM,2779NM,2964NM,3031NM,
192300,2895NM,2813NM,2846NM,2834NM,2918NM,3044NM,
192542,2817NM,2819NM,2834NM,2804NM,2943NM,3042NM,
192710,2913NM,2806NM,2882NM,2853NM,2983NM,3023NM,
192921,2930NM,2808NM,2853NM,2859NM,2979NM,2993NM,
192946,2844NM,2825NM,2836NM,2888NM,2972NM,3044NM,
195651,2899NM,2829NM,2825NM,2796NM,2941NM,3094NM,
195759,2920NM,2781NM,2878NM,2800NM,2999NM,3000NM,
195827,2886NM,2768NM,2855NM,2852NM,2978NM,3035NM,
195940,2913NM,2785NM,2834NM,2894NM,3020NM,3020NM,
200007,2895NM,2804NM,2850NM,2871NM,2985NM,3018NM,
200326,2899NM,2850NM,2886NM,0000NM,2987NM,3060NM,
200357,2827NM,2800NM,2853NM,2867NM,2970NM,3071NM,
200553,2932NM,2827NM,2834NM,2827NM,2949NM,3035NM,
200621,2850NM,2789NM,2890NM,2863NM,2949NM,3060NM,
201044,2838NM,2804NM,2859NM,2794NM,2951NM,3083NM,
201109,2855NM,2848NM,2846NM,2804NM,2924NM,3062NM,
201213,2916NM,2825NM,2878NM,2829NM,2949NM,3046NM,
201253,2926NM,2810NM,2934NM,2832NM,2951NM,3065NM,
201408,2878NM,2880NM,2895NM,2821NM,2934NM,3042NM,
201438,2844NM,2787NM,2884NM,2846NM,3008NM,3044NM,
201602,2865NM,2813NM,2869NM,2819NM,2928NM,3041NM,
201631,2842NM,2831NM,2861NM,2836NM,3000NM,3090NM,
201803,2926NM,2819NM,2894NM,2823NM,2920NM,3084NM,
201901,2903NM,2789NM,2882NM,2813NM,2926NM,3010NM,
201941,2857NM,2831NM,2899NM,2873NM,2953NM,3060NM,
202011,2873NM,2882NM,2825NM,2792NM,2962NM,3069NM,
202042,2863NM,2810NM,2871NM,2802NM,2962NM,3031NM,
202107,2853NM,2808NM,2852NM,2838NM,2943NM,3020NM,
202208,2873NM,2819NM,2821NM,2806NM,3004NM,2991NM,
202250,2922NM,2827NM,2859NM,2865NM,3023NM,3083NM,
