時間,軸1,軸2,軸3,軸4,軸5,軸6
090034,2853NM,2785NM,2836NM,2819NM,2964NM,3054NM,
090422,2907NM,2817NM,2819NM,2859NM,2937NM,3037NM,
091227,2920NM,2832NM,2886NM,2882NM,2951NM,3029NM,
091504,2873NM,2857NM,2945NM,2768NM,2951NM,3025NM,
092816,2840NM,0000NM,2852NM,2802NM,2983NM,3010NM,
092843,2905NM,2777NM,2840NM,2808NM,2970NM,3048NM,
092914,2909NM,2895NM,2913NM,2850NM,2993NM,2995NM,
093000,2905NM,2840NM,2922NM,2865NM,2922NM,3058NM,
093028,2915NM,2829NM,2838NM,2764NM,2972NM,3033NM,
093207,2913NM,2819NM,2874NM,2850NM,3058NM,3063NM,
093240,2884NM,2829NM,2859NM,2792NM,2978NM,3041NM,
100822,3029NM,3031NM,
100836,2865NM,2806NM,2876NM,2855NM,2960NM,3033NM,
101057,2928NM,2779NM,2840NM,2850NM,2978NM,3075NM,
101124,2909NM,2882NM,2882NM,2779NM,2968NM,3037NM,
101222,2842NM,2878NM,2915NM,2802NM,2943NM,3081NM,
101249,2920NM,2811NM,2861NM,2827NM,3000NM,3060NM,
101359,2913NM,2832NM,2899NM,2800NM,2943NM,3035NM,
101433,2930NM,2794NM,2848NM,2800NM,2972NM,3004NM,
101534,2909NM,2802NM,2880NM,2823NM,2976NM,3075NM,
101632,2890NM,2783NM,2890NM,2867NM,2936NM,3069NM,
101755,2913NM,2819NM,2880NM,2798NM,2981NM,3039NM,
101822,2922NM,2859NM,2911NM,2800NM,2958NM,3077NM,
101921,2882NM,2831NM,2859NM,2787NM,2928NM,3069NM,
101949,2882NM,2852NM,2867NM,2863NM,2949NM,3054NM,
102236,2939NM,2857NM,2911NM,2878NM,2957NM,3054NM,
102305,2892NM,2817NM,2840NM,2802NM,3012NM,3056NM,
102819,2909NM,2815NM,2907NM,2886NM,2949NM,3073NM,
102849,2869NM,2792NM,2899NM,2863NM,2991NM,3060NM,
102924,2842NM,2819NM,2911NM,2831NM,2985NM,3029NM,
104504,2878NM,2869NM,2855NM,2792NM,2920NM,3062NM,
104530,2861NM,2836NM,2890NM,2768NM,2932NM,3050NM,
104651,2882NM,2794NM,2829NM,2834NM,3012NM,0000NM,
104729,2876NM,2787NM,2888NM,2821NM,2957NM,3062NM,
105327,2869NM,2825NM,2834NM,2852NM,3010NM,3029NM,
105444,2873NM,2781NM,2825NM,2863NM,2991NM,3052NM,
105526,2880NM,2825NM,2846NM,2846NM,2951NM,3094NM,
105635,2873NM,2840NM,2834NM,2880NM,2983NM,3077NM,
105720,2846NM,2798NM,2915NM,2836NM,2936NM,3077NM,
105823,2897NM,2804NM,2852NM,2897NM,2983NM,3035NM,
105921,2855NM,2848NM,2869NM,2829NM,2960NM,3002NM,
110001,2915NM,2834NM,2817NM,2852NM,2983NM,3054NM,
110055,2869NM,2825NM,2867NM,2882NM,2949NM,3062NM,
110137,2819NM,2831NM,2865NM,2861NM,2926NM,3023NM,
110244,2844NM,2855NM,2852NM,2810NM,3023NM,3048NM,
110357,2930NM,2838NM,2878NM,2876NM,2960NM,3044NM,
110441,2926NM,2825NM,2853NM,2819NM,3025NM,3060NM,
110523,2857NM,2811NM,2815NM,2783NM,2951NM,3027NM,
110614,2880NM,2813NM,2865NM,2811NM,2957NM,3042NM,
110653,2922NM,2840NM,2867NM,2838NM,3014NM,3083NM,
110729,2936NM,2796NM,2869NM,2804NM,3002NM,3050NM,
110855,2894NM,2836NM,2905NM,2869NM,3000NM,3054NM,
110927,2895NM,2827NM,2873NM,2794NM,2981NM,3069NM,
111030,2888NM,2790NM,2880NM,2829NM,2926NM,3023NM,
111102,2857NM,2852NM,2905NM,2834NM,2983NM,3073NM,
111203,2888NM,2815NM,2842NM,2802NM,2974NM,3065NM,
111247,2865NM,2855NM,2888NM,2787NM,2972NM,3048NM,
111408,2905NM,2831NM,2876NM,2836NM,3008NM,3020NM,
111437,1NM,2853NM,2869NM,2882NM,3016NM,3081NM,
112023,2911NM,2815NM,2871NM,2789NM,2993NM,3060NM,
112101,2920NM,2855NM,2874NM,2894NM,2939NM,3071NM,
112217,2897NM,2798NM,2819NM,2846NM,2937NM,3010NM,
112322,2894NM,2855NM,2869NM,2823NM,2924NM,3042NM,
112441,2874NM,2840NM,2852NM,2844NM,2958NM,3008NM,
112515,2888NM,2857NM,2861NM,2848NM,2974NM,3048NM,
112610,2907NM,2806NM,2867NM,2783NM,3006NM,3037NM,
112656,2928NM,2823NM,2907NM,2813NM,2983NM,3046NM,
112747,2924NM,2819NM,2876NM,2842NM,2979NM,3052NM,
112818,2892NM,2815NM,2842NM,2831NM,2983NM,3069NM,
112915,2888NM,2838NM,2846NM,2821NM,2995NM,3071NM,
112954,2922NM,2823NM,2865NM,2888NM,2979NM,3054NM,
113057,2859NM,2873NM,2892NM,2806NM,2968NM,2999NM,
113141,2895NM,2769NM,2850NM,2871NM,2962NM,3058NM,
113221,2876NM,2798NM,2901NM,2794NM,2918NM,3056NM,
113247,2903NM,2798NM,2876NM,2865NM,3012NM,3012NM,
113349,2936NM,2848NM,2882NM,2831NM,2962NM,0000NM,
113453,0000NM,0000NM,0000NM,0000NM,0000NM,0000NM,
113555,2861NM,2794NM,2886NM,2792NM,2987NM,3063NM,
113658,2905NM,2844NM,2871NM,2838NM,2937NM,3031NM,
113944,2840NM,2794NM,2825NM,2829NM,2928NM,3000NM,
114036,2894NM,2777NM,2838NM,2834NM,2934NM,3008NM,
114122,2943NM,2838NM,2895NM,2886NM,2991NM,2993NM,
151910,2853NM,2811NM,2874NM,2842NM,2936NM,3044NM,
155252,2890NM,2842NM,2876NM,2815NM,2937NM,3062NM,
