時間,軸1,軸2,軸3,軸4,軸5,軸6
090135,0000NM,0000NM,0000NM,0000NM,0000NM,0000NM,
090150,2781NM,2680NM,2899NM,2716NM,2785NM,3165NM,
090438,2806NM,2731NM,2915NM,2682NM,2766NM,3140NM,
090618,2785NM,2699NM,2876NM,2685NM,2787NM,3063NM,
090702,2768NM,2680NM,2890NM,2685NM,2785NM,3084NM,
091247,1NM,2684NM,2892NM,2684NM,2802NM,3105NM,
091319,2785NM,2695NM,2890NM,2674NM,2787NM,3115NM,
091424,2781NM,2710NM,2886NM,2691NM,2794NM,3136NM,
091458,2768NM,2684NM,2878NM,2676NM,2756NM,3098NM,
091601,2796NM,2672NM,2884NM,2687NM,2777NM,3151NM,
091646,2771NM,2699NM,2899NM,2674NM,2773NM,3113NM,
091723,2789NM,2689NM,2884NM,2695NM,2787NM,3094NM,
091809,2779NM,2693NM,2888NM,2695NM,2792NM,3096NM,
091835,2777NM,2680NM,2874NM,2760NM,2779NM,3109NM,
091908,2813NM,2684NM,2882NM,2779NM,2783NM,3209NM,
091953,2790NM,2674NM,2897NM,2705NM,2800NM,3163NM,
092017,2777NM,2689NM,2878NM,2689NM,2790NM,3111NM,
092203,2781NM,2697NM,2890NM,2684NM,2792NM,3102NM,
092254,2785NM,2682NM,2882NM,2672NM,2892NM,3147NM,
092349,2773NM,2687NM,2892NM,2682NM,2790NM,3100NM,
092438,2787NM,2701NM,2920NM,2758NM,2777NM,3132NM,
092526,2783NM,2689NM,2880NM,2687NM,2789NM,3136NM,
092612,2787NM,2699NM,2936NM,2689NM,2773NM,3182NM,
092657,2777NM,2685NM,2876NM,2712NM,2827NM,3138NM,
092757,2781NM,2697NM,2903NM,2701NM,2794NM,3102NM,
092916,2785NM,2701NM,2932NM,2701NM,2796NM,3123NM,
092942,2781NM,2682NM,2894NM,2703NM,2785NM,3126NM,
093058,2792NM,2689NM,2890NM,2693NM,2792NM,3105NM,
093123,2769NM,2701NM,2888NM,2716NM,2787NM,3121NM,
093243,2777NM,2697NM,2884NM,2808NM,2798NM,3147NM,
093318,2779NM,2695NM,2930NM,2687NM,2785NM,3090NM,
093407,2781NM,2678NM,2884NM,2670NM,2798NM,3092NM,
093446,2779NM,2687NM,2920NM,2693NM,2790NM,3186NM,
093528,2789NM,2708NM,2884NM,2695NM,2796NM,3155NM,
093610,2768NM,2684NM,2894NM,2666NM,2783NM,3121NM,
093656,2775NM,2693NM,2892NM,2672NM,2777NM,3115NM,
093725,2777NM,2684NM,2878NM,2695NM,2785NM,3149NM,
093810,2775NM,2703NM,2873NM,2666NM,2802NM,3111NM,
093838,2789NM,2670NM,2878NM,2685NM,2773NM,3128NM,
093943,2789NM,2678NM,2884NM,2695NM,2789NM,3168NM,
094023,2798NM,2695NM,2882NM,2687NM,2792NM,3109NM,
094122,2781NM,2716NM,2882NM,0000NM,2779NM,3098NM,
164055,2783NM,2672NM,2947NM,2693NM,2779NM,3119NM,
164110,2781NM,2684NM,2888NM,2684NM,2817NM,3115NM,
164153,2773NM,2693NM,2892NM,2678NM,2790NM,3182NM,
164254,2815NM,2693NM,2876NM,2676NM,2777NM,3147NM,
164354,2787NM,2691NM,2888NM,2710NM,2779NM,3092NM,
164441,2790NM,2703NM,2886NM,2684NM,2779NM,3163NM,
164750,2792NM,2697NM,2895NM,2693NM,2842NM,3083NM,
164820,2787NM,2693NM,2890NM,2687NM,2802NM,3079NM,
164857,2798NM,2706NM,2890NM,2672NM,2787NM,3117NM,
165124,2777NM,2729NM,2880NM,2699NM,2787NM,3083NM,
