時間,軸1,軸2,軸3,軸4,軸5,軸6
085457,2979NM,2884NM,3069NM,2924NM,2869NM,3155NM,
085847,2871NM,2932NM,3041NM,2922NM,2924NM,3107NM,
090513,2884NM,2932NM,3000NM,2890NM,2945NM,3130NM,
100313,2878NM,2890NM,3094NM,2876NM,3153NM,3100NM,
100630,2899NM,2903NM,3088NM,2911NM,3079NM,3189NM,
102600,2695NM,2693NM,2693NM,2682NM,2674NM,2708NM,
103509,2748NM,2739NM,2727NM,2748NM,2747NM,2861NM,
110952,2722NM,2771NM,2743NM,2747NM,2731NM,2853NM,
111131,2743NM,2777NM,2773NM,2800NM,2754NM,2829NM,
132150,2750NM,2750NM,2726NM,2727NM,2731NM,2825NM,
132603,2731NM,2726NM,2825NM,2727NM,2750NM,2876NM,
134446,2775NM,2718NM,2750NM,2733NM,2775NM,2976NM,
155206,2794NM,2752NM,2724NM,2729NM,2787NM,2905NM,
155358,2787NM,2722NM,2733NM,2731NM,2787NM,2899NM,
160140,2785NM,2697NM,2783NM,2699NM,2768NM,2913NM,
161009,2844NM,2703NM,2781NM,2724NM,2783NM,2918NM,
161336,2775NM,2687NM,2769NM,2701NM,2779NM,2886NM,
161447,2775NM,2668NM,2787NM,2703NM,2842NM,2953NM,
165616,2859NM,2689NM,2800NM,2682NM,2775NM,2895NM,
170403,2787NM,2682NM,2800NM,2689NM,2789NM,2947NM,
172555,3044NM,
172610,2831NM,2802NM,2832NM,2779NM,2823NM,3073NM,
174547,2823NM,2792NM,2836NM,2798NM,2840NM,3039NM,
174736,2834NM,2815NM,2880NM,2817NM,2907NM,3060NM,
