時間,軸1,軸2,軸3,軸4,軸5,軸6
085437,2817NM,2689NM,2874NM,2678NM,2787NM,3130NM,
085509,2802NM,2695NM,2871NM,2691NM,2769NM,3130NM,
085609,2775NM,2672NM,2880NM,2693NM,2794NM,3140NM,
085638,2781NM,2701NM,2874NM,2703NM,2777NM,3130NM,
085740,2775NM,2699NM,2888NM,2766NM,2790NM,3115NM,
085813,2804NM,2691NM,2897NM,2684NM,2831NM,3069NM,
091601,2790NM,2720NM,2874NM,2699NM,2783NM,3071NM,
091629,2794NM,2701NM,2886NM,2680NM,2764NM,3121NM,
091718,2773NM,2676NM,2882NM,2684NM,2785NM,3081NM,
091742,2790NM,2684NM,2882NM,2706NM,2787NM,3098NM,
091914,2785NM,2720NM,2886NM,2682NM,2773NM,3155NM,
091956,2794NM,2685NM,2873NM,2691NM,2783NM,3084NM,
092051,2783NM,2691NM,2869NM,2684NM,2789NM,3147NM,
092121,2790NM,2685NM,2890NM,2682NM,2781NM,3126NM,
092203,2787NM,2703NM,2890NM,2750NM,2789NM,3136NM,
092232,2798NM,2680NM,2888NM,2724NM,2785NM,3088NM,
092615,2798NM,2697NM,2884NM,2666NM,2783NM,3081NM,
092641,2796NM,2672NM,2932NM,2676NM,2790NM,3109NM,
092734,2821NM,2691NM,2884NM,2670NM,2789NM,3086NM,
092804,2775NM,2663NM,2918NM,0000NM,2779NM,3168NM,
093950,2781NM,3224NM,
094004,2781NM,2703NM,2892NM,2670NM,2769NM,3084NM,
094030,2800NM,2693NM,2884NM,2670NM,2834NM,3105NM,
094133,2783NM,2733NM,2886NM,2684NM,2787NM,3115NM,
094159,2798NM,2687NM,2886NM,2695NM,2831NM,3209NM,
