時間,軸1,軸2,軸3,軸4,軸5,軸6
085411,0000NM,0000NM,0000NM,0000NM,0000NM,0000NM,
085433,ONM,ONM,ONM,ONM,ONM,ONM,
085507,ONM,ONM,ONM,ONM,ONM,02729NM,
085702,2880NM,2729NM,2769NM,3104NM,ONM,ONM,
085725,ONM,ONM,ONM,ONM,ONM,ONM,
085815,02691NM,2882NM,2682NM,2783NM,3111NM,ONM,
085839,ONM,ONM,ONM,ONM,ONM,ONM,
085923,02727NM,2920NM,2687NM,2813NM,3117NM,ONM,
085948,ONM,ONM,ONM,ONM,ONM,ONM,
090041,ONM,ONM,ONM,02685NM,2897NM,2758NM,
090112,2768NM,3071NM,ONM,2NM,ONM,ONM,
090135,ONM,ONM,ONM,ONM,ONM,02752NM,
090232,2876NM,2670NM,2775NM,3121NM,ONM,ONM,
090302,ONM,ONM,ONM,ONM,3?3??%??????????%???H?&?NM?j
RH?02D02724NM,2894NM,
090351,2724NM,2789NM,3153NM,ONM,ONM,ONM,
090421,ONM,ONM,ONM,ONM,ONM,ONM,
090600,ONM,02703NM,2926NM,2769NM,2766NM,3090NM,
164148,2829NM,2684NM,2874NM,2699NM,2794NM,3161NM,
164341,ONM,ONM,ONM,ONM,ONM,ONM,
164617,ONM,02716NM,2886NM,2705NM,2790NM,3088NM,
164835,ONM,ONM,ONM,ONM,ONM,ONM,
164923,ONM,ONM,ONM,ONM,02731NM,2867NM,
175929,2712NM,2769NM,3123NM,ONM,ONM,ONM,
180010,ONM,ONM,ONM,ONM,ONM,ONM,
185628,ONM,ONM,ONM,02695NM,2901NM,2703NM,
185741,2861NM,3146NM,ONM,ONM,1NM,ONM,
185818,ONM,ONM,ONM,ONM,ONM,ONM,
185921,ONM,ONM,02684NM,2880NM,2685NM,2876NM,
185954,3079NM,ONM,?NM,ONM,ONM,ONM,
190045,ONM,02674NM,2869NM,2712NM,2762NM,3090NM,
190111,ONM,ONM,ONM,ONM,ONM,ONM,
190346,ONM,ONM,ONM,02676NM,2886NM,2706NM,
190414,2773NM,3159NM,ONM,ONM,ONM,ONM,
190514,ONM,ONM,ONM,ONM,ONM,ONM,
190540,ONM,ONM,ONM,ONM,02712NM,2871NM,
