時間,軸1,軸2,軸3,軸4,軸5,軸6
085739,2819NM,2775NM,2846NM,2787NM,3021NM,3000NM,
085812,2867NM,2819NM,2821NM,2813NM,2974NM,3050NM,
085842,2850NM,2850NM,2878NM,2857NM,2932NM,3035NM,
085930,2890NM,2810NM,2855NM,2853NM,2936NM,3044NM,
085958,2823NM,2787NM,2831NM,2810NM,3033NM,3060NM,
090050,2861NM,2792NM,2882NM,2796NM,3018NM,3031NM,
090122,2888NM,2825NM,2867NM,2798NM,2968NM,3075NM,
090218,2926NM,2781NM,2850NM,2811NM,2987NM,3020NM,
090320,2878NM,2831NM,2880NM,2865NM,3044NM,3056NM,
090514,2916NM,2779NM,2894NM,2813NM,2943NM,3033NM,
090542,2934NM,2846NM,2857NM,2804NM,2937NM,3050NM,
091017,2829NM,2783NM,2850NM,2808NM,2981NM,3039NM,
091856,2850NM,2817NM,2869NM,2838NM,3062NM,3048NM,
091921,2825NM,2785NM,0000NM,2823NM,2926NM,3065NM,
092641,2894NM,0000NM,2865NM,2819NM,3012NM,3060NM,
092717,2867NM,2827NM,2852NM,2789NM,2922NM,3029NM,
092848,2832NM,2838NM,2827NM,2840NM,2995NM,3067NM,
092942,2840NM,2779NM,2853NM,2823NM,3014NM,3029NM,
093011,2882NM,2876NM,2823NM,2859NM,3002NM,3008NM,
093114,2863NM,2777NM,2831NM,2829NM,2922NM,3056NM,
093140,2884NM,2815NM,2821NM,2798NM,2936NM,3090NM,
093235,2836NM,2802NM,2882NM,2842NM,2957NM,3050NM,
093304,2937NM,2785NM,2853NM,2783NM,2918NM,3029NM,
093434,2846NM,2798NM,2899NM,2783NM,2941NM,3075NM,
093502,2850NM,2821NM,2936NM,2796NM,2943NM,3033NM,
093647,2859NM,2790NM,2823NM,2794NM,2926NM,3071NM,
093714,2852NM,2804NM,2903NM,2819NM,2943NM,3006NM,
093803,2850NM,2781NM,2848NM,2836NM,2945NM,3071NM,
093831,2834NM,2859NM,2848NM,2882NM,2966NM,3058NM,
093918,2834NM,2779NM,2823NM,2863NM,2955NM,3050NM,
093947,2821NM,2775NM,2882NM,2853NM,3006NM,3052NM,
094117,2853NM,2773NM,2861NM,2821NM,2993NM,3044NM,
094144,2922NM,2844NM,2857NM,2832NM,2918NM,3052NM,
094233,2853NM,2836NM,2880NM,2878NM,2934NM,3134NM,
094300,2850NM,2768NM,2836NM,2810NM,2941NM,3010NM,
094920,2924NM,2787NM,2901NM,2861NM,2955NM,3041NM,
094947,2915NM,2804NM,2852NM,2832NM,2928NM,3048NM,
095052,2871NM,2895NM,2880NM,2811NM,2937NM,3027NM,
095118,2915NM,2773NM,2832NM,2834NM,3029NM,3031NM,
095345,2819NM,2827NM,2895NM,2808NM,2958NM,3052NM,
095410,2865NM,2840NM,2882NM,2817NM,2974NM,3031NM,
095805,2937NM,2766NM,2878NM,2838NM,2939NM,3048NM,
095835,2884NM,2907NM,2844NM,2880NM,2989NM,3046NM,
095919,2928NM,2876NM,2916NM,2827NM,2949NM,3052NM,
095948,2899NM,2777NM,2857NM,2861NM,3008NM,3039NM,
100034,2850NM,2844NM,2852NM,2846NM,2936NM,3014NM,
100121,2939NM,2773NM,2850NM,2871NM,2918NM,3083NM,
100148,2880NM,2848NM,2897NM,2869NM,2924NM,3062NM,
100443,2882NM,2783NM,2861NM,2800NM,2960NM,3008NM,
100530,2817NM,2798NM,2874NM,2901NM,2953NM,3025NM,
100558,2894NM,2808NM,2853NM,2790NM,2932NM,3008NM,
100927,2848NM,2831NM,2924NM,2789NM,2968NM,3067NM,
100957,2853NM,2848NM,2890NM,2760NM,3000NM,3033NM,
101043,2941NM,2792NM,2867NM,2871NM,2979NM,3048NM,
101109,2821NM,2825NM,0000NM,2808NM,3000NM,3023NM,
101239,2815NM,2848NM,2863NM,2863NM,2997NM,3069NM,
101305,2880NM,2808NM,2905NM,2779NM,2920NM,3021NM,
101351,2834NM,2827NM,2907NM,2857NM,2955NM,3050NM,
101447,2922NM,2796NM,2907NM,2800NM,3008NM,2993NM,
101602,2853NM,2819NM,2899NM,2792NM,2920NM,3033NM,
101700,2886NM,2800NM,2861NM,2779NM,2949NM,3073NM,
101820,2899NM,2790NM,2817NM,2802NM,2953NM,3029NM,
104351,2821NM,2840NM,2880NM,2768NM,2949NM,3084NM,
104417,2846NM,2815NM,2844NM,2840NM,2920NM,3014NM,
104507,2811NM,2842NM,2846NM,2798NM,2964NM,3060NM,
104533,2850NM,2821NM,2895NM,2804NM,2918NM,3029NM,
104708,2903NM,0000NM,2863NM,2855NM,3012NM,3069NM,
104726,2825NM,2825NM,2920NM,2831NM,2985NM,3037NM,
104835,2861NM,2823NM,2911NM,2869NM,2939NM,3054NM,
104921,2842NM,2792NM,2859NM,2821NM,3020NM,3054NM,
105006,2842NM,2844NM,2892NM,2802NM,2962NM,3037NM,
105046,2815NM,2802NM,2844NM,2831NM,2941NM,3077NM,
105132,2892NM,2796NM,2869NM,2827NM,2978NM,3033NM,
105202,2825NM,2783NM,2932NM,2844NM,2964NM,3027NM,
105252,2850NM,2804NM,2865NM,2817NM,2976NM,3021NM,
105321,2817NM,2783NM,2909NM,2832NM,2964NM,3033NM,
105404,2850NM,2831NM,2867NM,2806NM,2918NM,3062NM,
105431,2829NM,2850NM,2832NM,2840NM,2949NM,3014NM,
105521,2915NM,2804NM,2840NM,2882NM,2976NM,3079NM,
105551,2882NM,2871NM,2857NM,2840NM,3014NM,3056NM,
105632,2840NM,2827NM,2863NM,2853NM,2953NM,3033NM,
110546,2831NM,2848NM,2852NM,0000NM,2943NM,3031NM,
110613,2852NM,2815NM,2859NM,2808NM,2968NM,3058NM,
110716,2852NM,2855NM,2846NM,2880NM,2941NM,3069NM,
110742,2855NM,2792NM,2876NM,2829NM,2981NM,3071NM,
110823,2825NM,2817NM,2825NM,2871NM,2997NM,3058NM,
110846,2905NM,2813NM,2836NM,2829NM,3027NM,2968NM,
110922,2840NM,2840NM,2880NM,2813NM,2981NM,3000NM,
111245,2850NM,2796NM,2899NM,2815NM,2974NM,2991NM,
111309,2865NM,2831NM,2831NM,2817NM,2968NM,3069NM,
111340,2861NM,2813NM,2880NM,2836NM,2920NM,3020NM,
111605,2823NM,2810NM,2823NM,2789NM,2943NM,3023NM,
111632,2840NM,2773NM,2848NM,2798NM,2999NM,3025NM,
112626,2821NM,2790NM,2857NM,2855NM,3010NM,3096NM,
112825,2831NM,2844NM,2827NM,2804NM,2987NM,3125NM,
113023,2941NM,2846NM,2836NM,2911NM,2941NM,3031NM,
113058,2884NM,2800NM,2855NM,2838NM,2968NM,3056NM,
113152,2880NM,2775NM,2842NM,2802NM,2955NM,2999NM,
113221,2838NM,2800NM,2829NM,2846NM,2936NM,3058NM,
113310,2857NM,2789NM,2842NM,2850NM,2936NM,3044NM,
113337,2840NM,2857NM,2895NM,2789NM,2966NM,3042NM,
113423,2888NM,2819NM,2831NM,2794NM,3021NM,3102NM,
113453,2895NM,2815NM,2895NM,2827NM,3016NM,3060NM,
113526,2892NM,2796NM,2924NM,2857NM,2989NM,3084NM,
113733,2857NM,2800NM,2867NM,2838NM,2947NM,3018NM,
113800,2861NM,2832NM,2903NM,2871NM,2979NM,3025NM,
113918,2829NM,2789NM,2817NM,2771NM,3027NM,3048NM,
