時間,軸1,軸2,軸3,軸4,軸5,軸6
092122,2827NM,2787NM,2823NM,2783NM,2968NM,3031NM,
092145,2829NM,2794NM,2829NM,2790NM,2926NM,3000NM,
092349,2878NM,2777NM,2827NM,2771NM,2943NM,3004NM,
092416,2821NM,2832NM,2836NM,2766NM,2922NM,3016NM,
092501,2834NM,2768NM,2832NM,2798NM,3025NM,2974NM,
092527,2823NM,2775NM,2831NM,2806NM,2936NM,3031NM,
092623,2819NM,2798NM,0000NM,2783NM,2945NM,3077NM,
092647,2836NM,2846NM,2834NM,2779NM,2937NM,2978NM,
092753,2848NM,2768NM,2834NM,2771NM,2934NM,3027NM,
092822,2832NM,2785NM,2829NM,2852NM,2945NM,3012NM,
092905,2848NM,2800NM,2838NM,2794NM,2928NM,3027NM,
092930,2888NM,2787NM,2823NM,2783NM,2918NM,3002NM,
093010,2848NM,2802NM,2869NM,2821NM,2951NM,3027NM,
093039,2840NM,2779NM,2838NM,2766NM,2932NM,2978NM,
093121,2831NM,2785NM,2836NM,2800NM,2922NM,3027NM,
093148,2857NM,2794NM,2838NM,2747NM,2934NM,3004NM,
093231,2840NM,2798NM,2834NM,2781NM,2941NM,3027NM,
093257,2829NM,2789NM,2819NM,2810NM,2941NM,2974NM,
093340,2832NM,2792NM,2831NM,2800NM,2945NM,3006NM,
093416,2825NM,2789NM,2829NM,2775NM,2970NM,3033NM,
093458,2823NM,2771NM,2846NM,2785NM,2928NM,2962NM,
093526,2831NM,2802NM,2852NM,2769NM,2928NM,2995NM,
093609,2836NM,2779NM,2840NM,2794NM,2924NM,3056NM,
093645,0000NM,2785NM,2819NM,2777NM,2951NM,2974NM,
093717,2821NM,2796NM,2829NM,2798NM,2926NM,3008NM,
093743,2838NM,2804NM,2840NM,2798NM,2958NM,2968NM,
093912,2825NM,2792NM,2911NM,2783NM,2951NM,2997NM,
093939,2832NM,2796NM,2825NM,2781NM,2922NM,3018NM,
094036,2848NM,2783NM,2842NM,2794NM,2928NM,3010NM,
094103,2825NM,2785NM,2829NM,2764NM,2934NM,3027NM,
094316,2855NM,2771NM,2821NM,2771NM,2936NM,3000NM,
094341,2840NM,2783NM,2823NM,2804NM,2918NM,3025NM,
094428,2838NM,2800NM,2829NM,2867NM,2939NM,2976NM,
094501,2827NM,2779NM,2846NM,2819NM,2922NM,3006NM,
094549,2836NM,2785NM,2832NM,2779NM,2939NM,2993NM,
094647,2840NM,2783NM,2815NM,2773NM,2922NM,3081NM,
094935,2834NM,2779NM,2829NM,2785NM,2951NM,2978NM,
095000,2832NM,2781NM,2834NM,2817NM,2922NM,3012NM,
095035,2838NM,2773NM,2913NM,2775NM,2922NM,3094NM,
095117,2840NM,2790NM,2836NM,2796NM,2937NM,3041NM,
095150,2853NM,2781NM,2823NM,2808NM,2932NM,3084NM,
095235,2831NM,2787NM,2848NM,2766NM,2937NM,3048NM,
095313,2829NM,2783NM,2855NM,2779NM,2955NM,3025NM,
095338,2817NM,2792NM,2832NM,2766NM,2920NM,2989NM,
095514,2844NM,2787NM,2842NM,2773NM,2924NM,3035NM,
095539,2834NM,2794NM,2886NM,2754NM,2953NM,3008NM,
095623,2859NM,2792NM,2821NM,2794NM,2916NM,2970NM,
095713,2850NM,2789NM,2815NM,2775NM,2955NM,3012NM,
095753,2844NM,2796NM,2831NM,2771NM,2939NM,3023NM,
095838,2832NM,2785NM,2850NM,2777NM,2955NM,3016NM,
095906,2827NM,2771NM,2836NM,2800NM,2934NM,2989NM,
095957,2840NM,2794NM,2831NM,2796NM,2936NM,2999NM,
100032,2831NM,2817NM,2903NM,2790NM,2916NM,3048NM,
100207,2857NM,2800NM,2827NM,2785NM,2918NM,3000NM,
100235,2821NM,2781NM,2878NM,2764NM,2966NM,2981NM,
100318,2874NM,2819NM,2831NM,2804NM,2951NM,2987NM,
100346,2838NM,2836NM,2836NM,2787NM,2924NM,2983NM,
100608,2810NM,2768NM,2884NM,2796NM,2939NM,2985NM,
100633,2836NM,2817NM,2829NM,2775NM,2978NM,3060NM,
101040,2846NM,2787NM,2834NM,2768NM,2922NM,3046NM,
101156,2836NM,2779NM,2831NM,2804NM,2918NM,2989NM,
101301,2821NM,2773NM,2842NM,2832NM,2922NM,2979NM,
101806,2848NM,2798NM,2827NM,2806NM,2974NM,2970NM,
101902,2832NM,2781NM,2909NM,2850NM,2932NM,3052NM,
102201,2827NM,2794NM,2834NM,2811NM,2953NM,3002NM,
102440,2827NM,2769NM,2834NM,2821NM,2953NM,3031NM,
102506,2859NM,2796NM,2850NM,2806NM,2976NM,3058NM,
