時間,軸1,軸2,軸3,軸4,軸5,軸6
091129,2790NM,2695NM,2884NM,2676NM,2781NM,3125NM,
091200,2789NM,2699NM,2901NM,2670NM,2790NM,3155NM,
091301,2794NM,2678NM,2894NM,2676NM,2773NM,3161NM,
091337,2781NM,2682NM,2888NM,2684NM,2775NM,3073NM,
091427,2NM,2674NM,2886NM,2691NM,2790NM,0000NM,
091459,2790NM,2684NM,2880NM,2684NM,2781NM,3098NM,
091629,2775NM,2687NM,2886NM,2712NM,2794NM,3184NM,
091730,2775NM,2670NM,2897NM,2678NM,2781NM,3104NM,
091814,2781NM,2685NM,2871NM,2684NM,2790NM,3140NM,
091838,2781NM,2695NM,2873NM,2670NM,2769NM,3098NM,
091951,2779NM,2708NM,2886NM,2682NM,2775NM,3170NM,
092015,2773NM,2682NM,2880NM,2684NM,2790NM,3151NM,
092135,2794NM,2687NM,2882NM,2672NM,2773NM,3073NM,
092206,2787NM,2697NM,2876NM,2701NM,2792NM,3104NM,
092237,2777NM,2701NM,2903NM,2718NM,2783NM,3107NM,
092338,2771NM,2691NM,2873NM,2674NM,2779NM,3100NM,
092414,2783NM,2674NM,2871NM,2685NM,2773NM,3113NM,
092453,2789NM,2699NM,2884NM,2674NM,2781NM,3126NM,
092617,2829NM,2689NM,2888NM,2708NM,2779NM,3096NM,
092649,2840NM,2764NM,2890NM,2701NM,2794NM,3119NM,
092719,2790NM,2685NM,2903NM,2682NM,2785NM,3088NM,
092758,2783NM,2684NM,2874NM,2672NM,2783NM,3123NM,
092838,2783NM,2678NM,2894NM,2678NM,2781NM,3165NM,
092920,2769NM,2693NM,2888NM,2685NM,2790NM,3098NM,
093029,2781NM,2689NM,2897NM,2706NM,2789NM,3144NM,
093053,2783NM,2695NM,2873NM,2693NM,2785NM,3088NM,
093127,2796NM,2685NM,2886NM,2706NM,2796NM,3203NM,
093234,2781NM,2687NM,2874NM,2748NM,2779NM,3105NM,
093845,2766NM,2680NM,2892NM,2684NM,2781NM,3109NM,
093930,2798NM,2695NM,2888NM,2687NM,2790NM,3126NM,
094044,2798NM,2695NM,2888NM,2689NM,2789NM,3125NM,
094120,2783NM,2693NM,2894NM,2697NM,2777NM,3167NM,
094152,2785NM,2697NM,2882NM,2676NM,2789NM,3121NM,
094224,2800NM,2684NM,2895NM,2703NM,2789NM,3136NM,
094349,2794NM,2678NM,2892NM,2670NM,2777NM,3063NM,
094426,2781NM,2684NM,2899NM,2693NM,2794NM,3096NM,
094500,2789NM,2678NM,2888NM,2674NM,2810NM,3098NM,
094545,2792NM,2697NM,2882NM,2676NM,2779NM,3062NM,
094636,2810NM,2701NM,2897NM,2729NM,2779NM,3073NM,
094812,2810NM,2687NM,2955NM,2670NM,2796NM,3092NM,
094841,2794NM,2684NM,2880NM,2682NM,2773NM,3147NM,
094921,2785NM,2674NM,2886NM,2687NM,2781NM,3090NM,
094950,2790NM,2691NM,2886NM,2697NM,2798NM,3117NM,
095106,2790NM,2674NM,2882NM,2693NM,2779NM,3104NM,
095149,2783NM,2695NM,2890NM,2668NM,2777NM,3102NM,
095215,2787NM,2703NM,2880NM,2691NM,2790NM,3119NM,
095302,2789NM,0000NM,2890NM,2685NM,2783NM,3117NM,
095329,2781NM,2689NM,2895NM,2678NM,2796NM,3178NM,
095503,2777NM,2699NM,2882NM,2706NM,2796NM,3134NM,
095804,2796NM,2724NM,2886NM,2682NM,2792NM,3062NM,
