時間,軸1,軸2,軸3,軸4,軸5,軸6
092028,2930NM,2913NM,3077NM,2867NM,3104NM,3174NM,
092133,2911NM,2924NM,0000NM,2962NM,3147NM,3121NM,
093729,2888NM,2888NM,3128NM,2930NM,3180NM,3155NM,
093807,2905NM,2916NM,3094NM,2949NM,3132NM,3138NM,
094027,2918NM,2936NM,3189NM,2876NM,3075NM,3126NM,
094113,2930NM,2903NM,3111NM,2932NM,3151NM,3138NM,
095506,2876NM,2909NM,3098NM,2913NM,3188NM,3081NM,
095606,2873NM,2979NM,3174NM,2909NM,3134NM,3138NM,
095646,2924NM,2890NM,3138NM,2899NM,3090NM,3128NM,
095732,2920NM,2903NM,3071NM,2979NM,3096NM,3195NM,
095820,2899NM,2886NM,3161NM,2907NM,3105NM,3130NM,
