時間,軸1,軸2,軸3,軸4,軸5,軸6
090202,2794NM,2687NM,2785NM,2697NM,2764NM,2901NM,
090253,2783NM,2691NM,2827NM,2701NM,2769NM,2911NM,
090320,2777NM,2680NM,2779NM,2701NM,2781NM,2890NM,
090459,2808NM,2701NM,2781NM,2670NM,2775NM,2899NM,
090528,2800NM,2706NM,2792NM,2693NM,2764NM,2978NM,
090626,2769NM,2747NM,2787NM,2747NM,2800NM,2899NM,
090654,2800NM,2676NM,2775NM,2773NM,2792NM,2922NM,
090756,2790NM,2680NM,2790NM,2695NM,2781NM,2957NM,
090830,2787NM,2706NM,2783NM,2705NM,2806NM,3002NM,
090954,2787NM,2682NM,2771NM,2701NM,2825NM,2892NM,
091023,2781NM,2695NM,2766NM,2680NM,2787NM,2947NM,
091401,2781NM,2689NM,2787NM,2699NM,2808NM,2916NM,
091440,2783NM,2691NM,2804NM,2685NM,2779NM,2895NM,
091726,2769NM,2701NM,2796NM,2680NM,2773NM,2882NM,
091845,2781NM,2672NM,2785NM,2727NM,2783NM,2981NM,
092156,2775NM,2701NM,2804NM,2670NM,2785NM,2916NM,
092252,2796NM,2691NM,2783NM,2712NM,2836NM,2968NM,
092318,2798NM,2680NM,2775NM,2724NM,2785NM,2966NM,
092406,2792NM,2685NM,2785NM,2687NM,2783NM,2899NM,
092437,2806NM,2676NM,2798NM,2685NM,2846NM,2897NM,
