時間,軸1,軸2,軸3,軸4,軸5,軸6
084939,0000NM,0000NM,0000NM,0000NM,0000NM,0000NM,
085306,2789NM,2701NM,2777NM,2668NM,2787NM,3130NM,
085327,2796NM,2670NM,2790NM,2689NM,2775NM,3104NM,
085517,2798NM,2691NM,2787NM,2695NM,2827NM,3069NM,
085554,2769NM,2678NM,2790NM,2720NM,2817NM,3134NM,
085650,2790NM,2708NM,2850NM,2727NM,2773NM,3100NM,
085718,2769NM,2666NM,2800NM,2678NM,2800NM,3071NM,
085808,2794NM,2691NM,2771NM,2703NM,2783NM,3144NM,
085840,2798NM,2695NM,2787NM,2666NM,2777NM,3056NM,
085927,2781NM,2670NM,2777NM,2670NM,2810NM,3109NM,
085959,2777NM,2703NM,2773NM,2687NM,2771NM,3136NM,
090051,2773NM,2689NM,2785NM,2735NM,2790NM,3140NM,
090121,2777NM,2682NM,2787NM,2668NM,2779NM,3096NM,
090214,2894NM,2735NM,2832NM,2701NM,2783NM,3138NM,
090244,2777NM,2685NM,2796NM,2720NM,2792NM,3146NM,
090342,2825NM,2699NM,2792NM,2737NM,2777NM,3123NM,
090414,2813NM,2703NM,2789NM,2680NM,2790NM,3123NM,
090524,2771NM,2724NM,2827NM,2676NM,2810NM,3094NM,
090551,2771NM,2682NM,2790NM,2701NM,2848NM,3178NM,
091217,2827NM,2703NM,2790NM,2682NM,2785NM,3159NM,
091245,2779NM,2689NM,2781NM,2663NM,2787NM,3096NM,
091515,2808NM,2670NM,2787NM,2699NM,2764NM,3107NM,
091547,2792NM,2703NM,2789NM,2706NM,2831NM,3138NM,
091714,2831NM,2701NM,2766NM,2699NM,2798NM,3168NM,
091743,2787NM,2689NM,2813NM,2708NM,2829NM,3102NM,
091833,2777NM,2672NM,2829NM,2685NM,2819NM,3107NM,
091916,2796NM,2682NM,2787NM,2705NM,2815NM,3126NM,
092021,2768NM,2672NM,2773NM,2710NM,2787NM,3081NM,
092048,2787NM,2680NM,2810NM,2695NM,2790NM,3100NM,
092138,2810NM,2674NM,2787NM,2672NM,2777NM,3111NM,
092206,2808NM,2676NM,2815NM,2764NM,2800NM,3170NM,
092257,2798NM,2691NM,2790NM,2666NM,2804NM,3075NM,
092327,2783NM,2689NM,2771NM,2693NM,2787NM,3209NM,
092453,2794NM,2722NM,2789NM,2684NM,2779NM,3102NM,
094115,2798NM,2689NM,2794NM,2693NM,2813NM,3121NM,
094130,2802NM,2672NM,2769NM,2720NM,2787NM,3142NM,
094221,2855NM,2678NM,2796NM,2691NM,2802NM,3176NM,
094255,2773NM,2691NM,2838NM,2697NM,2777NM,3146NM,
094937,2844NM,2678NM,0000NM,2701NM,2846NM,3102NM,
095004,2783NM,2685NM,2783NM,2680NM,2800NM,3081NM,
095112,2785NM,2674NM,2775NM,2680NM,2821NM,3079NM,
095138,2890NM,2693NM,2819NM,2703NM,2804NM,3102NM,
095230,2768NM,2710NM,2792NM,2712NM,2779NM,3136NM,
095425,2785NM,2699NM,2787NM,2674NM,2798NM,3134NM,
095522,2792NM,2689NM,2773NM,2693NM,2790NM,3086NM,
095554,2769NM,2733NM,2821NM,2726NM,2806NM,3136NM,
095623,2769NM,2693NM,2813NM,2718NM,2790NM,3094NM,
095652,2789NM,2699NM,2783NM,2718NM,2758NM,3117NM,
095717,2853NM,2703NM,2773NM,2708NM,2787NM,3105NM,
095800,2800NM,2699NM,2787NM,2682NM,2838NM,3136NM,
095902,2783NM,2680NM,2779NM,2718NM,2787NM,3102NM,
100009,2779NM,2682NM,2787NM,2722NM,2789NM,3161NM,
100112,2775NM,2699NM,2802NM,2676NM,2790NM,3128NM,
100140,2790NM,2701NM,2768NM,2685NM,2794NM,3079NM,
100242,2800NM,2699NM,2775NM,2682NM,2785NM,3077NM,
100308,2792NM,2695NM,2811NM,2678NM,2773NM,3086NM,
100423,2777NM,2670NM,2796NM,0000NM,2790NM,3092NM,
100451,2783NM,2687NM,2790NM,2684NM,2831NM,3102NM,
100545,2775NM,2684NM,2789NM,2670NM,2804NM,3081NM,
100609,2781NM,2685NM,2817NM,2703NM,2768NM,3094NM,
100733,2783NM,2708NM,2783NM,2703NM,2766NM,3060NM,
100805,2771NM,2685NM,2787NM,2706NM,2781NM,3086NM,
100908,
100924,2785NM,2670NM,2831NM,2766NM,2790NM,3105NM,
101009,2815NM,2685NM,2834NM,2701NM,2789NM,3100NM,
101032,2811NM,2705NM,2796NM,2684NM,2790NM,3105NM,
101135,2806NM,2693NM,2785NM,2693NM,2773NM,3119NM,
101206,2806NM,2682NM,2829NM,2703NM,2796NM,3077NM,
101320,2789NM,2684NM,2775NM,2682NM,2768NM,3071NM,
101346,2798NM,2714NM,2798NM,2710NM,2815NM,3086NM,
101500,2771NM,2703NM,2769NM,2676NM,2781NM,3168NM,
101722,2825NM,2684NM,2785NM,2720NM,2800NM,3086NM,
101757,2798NM,2678NM,2840NM,2674NM,2781NM,3109NM,
101856,2777NM,2691NM,2775NM,2680NM,2768NM,3151NM,
101928,2808NM,2678NM,2771NM,2747NM,2789NM,3111NM,
102029,2794NM,2764NM,2769NM,2695NM,2783NM,3140NM,
102056,2800NM,2697NM,2878NM,2710NM,2821NM,3138NM,
102205,2779NM,2710NM,2777NM,2735NM,2798NM,3102NM,
102613,2806NM,2695NM,2825NM,2729NM,2794NM,3195NM,
102640,2783NM,2684NM,2773NM,2670NM,2790NM,3119NM,
105911,2775NM,2731NM,2804NM,2678NM,2794NM,0000NM,
105943,2798NM,2701NM,2819NM,2687NM,2764NM,3090NM,
110027,2810NM,2701NM,2790NM,2693NM,2800NM,3096NM,
110053,2792NM,2672NM,2781NM,2664NM,2871NM,3126NM,
110137,2798NM,2693NM,2798NM,2716NM,2821NM,3102NM,
110204,2775NM,2689NM,2829NM,2685NM,2811NM,3069NM,
110242,2781NM,2705NM,2789NM,2701NM,2785NM,3123NM,
110310,2764NM,2691NM,2771NM,2684NM,2790NM,3125NM,
110353,2787NM,2670NM,2796NM,2752NM,2811NM,3086NM,
110417,2790NM,2699NM,2810NM,2747NM,2777NM,3077NM,
110455,2790NM,2672NM,2829NM,2710NM,2802NM,3077NM,
110525,2800NM,2705NM,2783NM,2699NM,2811NM,3092NM,
110609,2769NM,2706NM,2787NM,2733NM,2750NM,3176NM,
110640,2811NM,2703NM,2831NM,2754NM,2790NM,3075NM,
110728,2773NM,2668NM,2789NM,2733NM,2789NM,3123NM,
110751,2836NM,2693NM,2792NM,2706NM,2781NM,3075NM,
110839,2760NM,2680NM,2783NM,2672NM,2777NM,3165NM,
110903,2852NM,2691NM,2827NM,2699NM,2773NM,3104NM,
110952,2800NM,2699NM,2838NM,2714NM,2802NM,3104NM,
111016,2792NM,2684NM,2827NM,2691NM,2834NM,3176NM,
111114,2794NM,2678NM,2792NM,2716NM,2783NM,3119NM,
111137,2787NM,2712NM,2802NM,2750NM,2771NM,3086NM,
111240,2813NM,2699NM,2804NM,2733NM,2880NM,3104NM,
111308,2789NM,2695NM,2798NM,2731NM,2789NM,3176NM,
111410,2783NM,2699NM,2777NM,2714NM,2785NM,3128NM,
111437,2794NM,2680NM,2804NM,2718NM,2800NM,3079NM,
111647,2796NM,2703NM,2783NM,2693NM,2781NM,3081NM,
111713,2771NM,2741NM,2783NM,2754NM,2804NM,3144NM,
111801,2790NM,2689NM,2825NM,2684NM,2790NM,3125NM,
111829,2794NM,2685NM,2785NM,2684NM,2806NM,3081NM,
111958,2775NM,2680NM,2785NM,2735NM,2796NM,3140NM,
112313,2781NM,2706NM,2810NM,2758NM,2792NM,3105NM,
112339,2800NM,2693NM,2811NM,2699NM,2857NM,3083NM,
112425,2794NM,2722NM,2792NM,2727NM,2806NM,3222NM,
121102,2790NM,2687NM,2819NM,2724NM,2827NM,0000NM,
121119,2790NM,2706NM,2819NM,2731NM,2810NM,3092NM,
121253,2821NM,2710NM,2819NM,2680NM,2844NM,3083NM,
121318,2785NM,2695NM,2802NM,2703NM,2779NM,3121NM,
121418,2789NM,2697NM,2808NM,2727NM,2832NM,3079NM,
121445,2789NM,2664NM,2768NM,2701NM,2831NM,3125NM,
121522,2794NM,2691NM,2815NM,2727NM,2827NM,3132NM,
121544,2787NM,2718NM,2771NM,2699NM,2783NM,3149NM,
121626,2766NM,2685NM,2779NM,2685NM,2789NM,3060NM,
121656,2783NM,2691NM,2773NM,2708NM,2787NM,3111NM,
121730,2783NM,2685NM,2781NM,2678NM,2787NM,3083NM,
121754,2775NM,2705NM,2832NM,2663NM,2777NM,3096NM,
121843,2798NM,2729NM,2773NM,2685NM,2785NM,3084NM,
121913,2800NM,2687NM,2850NM,2689NM,2783NM,3084NM,
121954,2783NM,2687NM,0000NM,2689NM,2811NM,3084NM,
122016,2806NM,2678NM,2821NM,2729NM,2815NM,3071NM,
122118,2792NM,2720NM,2785NM,2695NM,2840NM,3168NM,
122218,2853NM,2703NM,0000NM,2703NM,2790NM,3088NM,
122247,2834NM,2766NM,2806NM,2710NM,2802NM,3168NM,
122325,2800NM,2691NM,2790NM,2722NM,2773NM,3105NM,
122430,2773NM,2756NM,2785NM,2659NM,2768NM,3083NM,
130408,2796NM,2691NM,2798NM,2664NM,2760NM,3142NM,
130434,2846NM,2741NM,2817NM,2695NM,2829NM,3083NM,
130812,2769NM,2687NM,2817NM,2724NM,2785NM,3092NM,
130843,2787NM,2691NM,2779NM,2762NM,2752NM,3073NM,
130934,2840NM,2689NM,2802NM,2750NM,2813NM,3102NM,
131002,2792NM,2701NM,2789NM,2706NM,2785NM,3073NM,
131649,2821NM,2684NM,2823NM,2680NM,2815NM,3138NM,
131737,2792NM,2735NM,2825NM,2798NM,2769NM,3126NM,
131844,2773NM,2731NM,2785NM,2687NM,2775NM,3100NM,
131919,2794NM,2666NM,2781NM,2733NM,2810NM,3086NM,
132010,2792NM,2689NM,2790NM,2748NM,2813NM,3121NM,
132054,1NM,2689NM,2823NM,2726NM,2850NM,3117NM,
132144,2796NM,2678NM,2842NM,2695NM,2773NM,3098NM,
132213,2813NM,2672NM,2769NM,2733NM,2771NM,3069NM,
133713,2779NM,2685NM,2789NM,2718NM,2825NM,3128NM,
133742,2779NM,2674NM,2804NM,2689NM,2777NM,3172NM,
133826,2790NM,2708NM,2790NM,2693NM,2794NM,3083NM,
133854,2773NM,2670NM,2779NM,2693NM,2783NM,3115NM,
133938,2779NM,2724NM,2781NM,2726NM,2821NM,3071NM,
134006,2785NM,2693NM,2792NM,2733NM,2808NM,3092NM,
134049,2792NM,2697NM,2804NM,2693NM,2869NM,3138NM,
134116,2771NM,2733NM,2836NM,2703NM,2779NM,3151NM,
134200,2806NM,2687NM,2796NM,2716NM,2771NM,3096NM,
134227,2779NM,2731NM,2800NM,2720NM,2768NM,3163NM,
134317,2773NM,2684NM,2781NM,2726NM,2834NM,3178NM,
134346,2775NM,2676NM,2768NM,2687NM,2802NM,3109NM,
134434,2836NM,2693NM,2831NM,2697NM,2802NM,3149NM,
134501,2768NM,2691NM,2810NM,2672NM,2802NM,3136NM,
134611,2792NM,2685NM,2800NM,2739NM,2779NM,3163NM,
134641,2852NM,2743NM,2838NM,2691NM,2825NM,3132NM,
134816,2787NM,2678NM,2766NM,2745NM,2775NM,3144NM,
134909,2796NM,2682NM,2802NM,2783NM,2802NM,3084NM,
134942,2798NM,2724NM,2768NM,2752NM,2775NM,3102NM,
135022,2857NM,2680NM,2811NM,2718NM,2831NM,3094NM,
135146,2852NM,2695NM,2789NM,2729NM,2777NM,3140NM,
135219,2806NM,2693NM,2781NM,2695NM,2846NM,3142NM,
135302,2783NM,2680NM,2773NM,2666NM,2789NM,3115NM,
135648,2819NM,2706NM,2781NM,2701NM,2773NM,3100NM,
135724,2796NM,2701NM,2813NM,2701NM,2853NM,3067NM,
135757,2773NM,2680NM,2781NM,2685NM,2760NM,3123NM,
135820,2811NM,2674NM,2832NM,2689NM,2800NM,3142NM,
135854,2802NM,2684NM,2789NM,2727NM,2790NM,3105NM,
135916,2829NM,2691NM,2785NM,2739NM,2790NM,3151NM,
135951,2792NM,2691NM,2779NM,2676NM,2777NM,3121NM,
140015,2802NM,2680NM,2834NM,2716NM,2806NM,3121NM,
140054,2825NM,2705NM,2798NM,2672NM,2781NM,3126NM,
140118,2781NM,2682NM,2832NM,2714NM,2781NM,3067NM,
140154,2804NM,2689NM,2836NM,2689NM,2806NM,3168NM,
140217,2800NM,2697NM,2785NM,2712NM,2798NM,3096NM,
140251,2775NM,2666NM,2783NM,2773NM,2836NM,3151NM,
140321,2771NM,2668NM,2787NM,2680NM,2779NM,3083NM,
140406,2808NM,2680NM,2819NM,2684NM,2808NM,3111NM,
140443,2813NM,2680NM,2827NM,2722NM,2823NM,3077NM,
140521,2825NM,2697NM,2796NM,2668NM,2783NM,3109NM,
140549,2783NM,2693NM,2848NM,2720NM,2800NM,3123NM,
140645,2775NM,2678NM,2787NM,2699NM,2821NM,3073NM,
140732,2806NM,2691NM,0000NM,2739NM,2811NM,3083NM,
140905,2781NM,2684NM,2794NM,2663NM,2794NM,3100NM,
140929,2777NM,2699NM,2808NM,2718NM,2768NM,3104NM,
141052,2787NM,2680NM,2852NM,2685NM,2762NM,3132NM,
141120,2827NM,2685NM,2771NM,2706NM,2798NM,3151NM,
141208,2810NM,2705NM,2787NM,2689NM,2771NM,3075NM,
141235,2790NM,2714NM,2773NM,2701NM,2789NM,3132NM,
141324,2796NM,2684NM,2831NM,2691NM,2779NM,3084NM,
141350,2813NM,2703NM,2790NM,2680NM,2829NM,3098NM,
141450,2773NM,2687NM,2804NM,2718NM,2785NM,3107NM,
141517,2769NM,2750NM,2785NM,2714NM,2832NM,3159NM,
141623,2781NM,2701NM,2800NM,2718NM,2827NM,3100NM,
141654,2777NM,2687NM,2771NM,2714NM,2800NM,3092NM,
141731,2800NM,2701NM,2787NM,2714NM,2781NM,3172NM,
141852,2783NM,2682NM,2792NM,2724NM,2796NM,3079NM,
141921,2823NM,2733NM,2861NM,2710NM,2798NM,3075NM,
142009,2802NM,2708NM,2802NM,2687NM,2804NM,3111NM,
142040,2834NM,2712NM,2779NM,2743NM,2789NM,3130NM,
143257,2775NM,2664NM,2794NM,2714NM,2768NM,3083NM,
143323,2808NM,2699NM,2815NM,2710NM,2806NM,3083NM,
143407,2781NM,2676NM,2779NM,2689NM,2779NM,3157NM,
143434,2777NM,2703NM,2811NM,2705NM,2790NM,3109NM,
143521,2813NM,2687NM,2829NM,2708NM,2798NM,3084NM,
143547,2848NM,2684NM,2813NM,2705NM,2859NM,3077NM,
143622,2796NM,2670NM,2781NM,2790NM,2787NM,3092NM,
143802,2785NM,2699NM,2773NM,2708NM,2785NM,3113NM,
143840,2790NM,2687NM,2785NM,2712NM,2789NM,3104NM,
144026,2796NM,2685NM,2789NM,2670NM,2768NM,3151NM,
144115,2769NM,2739NM,2840NM,2743NM,2781NM,3105NM,
144217,2789NM,2727NM,2831NM,2710NM,2802NM,3147NM,
144316,2796NM,2699NM,2768NM,2684NM,2777NM,3071NM,
144349,2773NM,2703NM,2789NM,2706NM,2842NM,3090NM,
144456,2831NM,2706NM,2777NM,2722NM,2844NM,3094NM,
151706,2775NM,2682NM,2781NM,2741NM,2813NM,3109NM,
151747,2834NM,2693NM,2787NM,2703NM,2781NM,3113NM,
151915,2798NM,2760NM,2771NM,2724NM,2779NM,0000NM,
151945,2771NM,2684NM,2785NM,2685NM,2779NM,3123NM,
152333,2832NM,2668NM,2800NM,2674NM,2775NM,3058NM,
152405,2775NM,2697NM,2789NM,2699NM,2800NM,3123NM,
152455,2779NM,2718NM,2817NM,2687NM,2781NM,3105NM,
152525,2798NM,2684NM,2777NM,2706NM,2802NM,3067NM,
152619,2771NM,2695NM,2787NM,2691NM,2806NM,3132NM,
152647,2819NM,2697NM,2771NM,2670NM,2777NM,3126NM,
152727,2796NM,2689NM,2787NM,2766NM,2831NM,3071NM,
152805,2783NM,2682NM,2825NM,2655NM,2794NM,3138NM,
152843,2790NM,2697NM,2779NM,2722NM,2798NM,3081NM,
152908,2819NM,2726NM,2798NM,2691NM,2792NM,3102NM,
152936,2796NM,2727NM,2787NM,2705NM,2832NM,3096NM,
153014,2802NM,2731NM,2834NM,2720NM,2831NM,3107NM,
153131,2817NM,2699NM,2790NM,2695NM,2792NM,3126NM,
153157,2789NM,2664NM,2775NM,2680NM,2766NM,3073NM,
153245,2857NM,2682NM,2821NM,2754NM,2819NM,3157NM,
153329,2796NM,2766NM,2779NM,2714NM,2790NM,3086NM,
153418,2790NM,2768NM,2857NM,2685NM,2840NM,3102NM,
153608,2802NM,2701NM,2787NM,2706NM,2855NM,3075NM,
153643,2781NM,2682NM,2777NM,2668NM,2790NM,3079NM,
153819,2777NM,2699NM,2787NM,2691NM,2775NM,3109NM,
