時間,軸1,軸2,軸3,軸4,軸5,軸6
085352,2781NM,2689NM,2869NM,2689NM,2840NM,3123NM,
085424,2771NM,2693NM,2882NM,2680NM,2787NM,3146NM,
085507,2789NM,2687NM,2874NM,2678NM,2792NM,3121NM,
085610,2775NM,2685NM,2894NM,2684NM,2775NM,3092NM,
085803,2838NM,2701NM,2884NM,2695NM,2773NM,3096NM,
085939,2783NM,2685NM,2899NM,2676NM,2779NM,3115NM,
090014,2790NM,2708NM,2884NM,2684NM,2867NM,3123NM,
090258,2769NM,2691NM,2873NM,2697NM,2777NM,3147NM,
090336,2769NM,2680NM,2901NM,2708NM,2777NM,3147NM,
090449,2802NM,2693NM,2905NM,2695NM,2769NM,0000NM,
090508,2785NM,2670NM,2882NM,2693NM,2802NM,3115NM,
090554,2810NM,2691NM,2895NM,2691NM,2787NM,3102NM,
090620,2789NM,2697NM,2909NM,2701NM,2783NM,3100NM,
090717,2773NM,2687NM,2937NM,2687NM,2783NM,3096NM,
090807,2802NM,2693NM,2903NM,2670NM,2769NM,3167NM,
090841,2775NM,2691NM,2915NM,2708NM,2775NM,3071NM,
090917,2790NM,2693NM,2890NM,2689NM,2777NM,3107NM,
091051,2798NM,2695NM,2880NM,2674NM,2842NM,3121NM,
091242,2815NM,2691NM,2876NM,2695NM,2781NM,3125NM,
091317,2777NM,2685NM,2886NM,2689NM,2783NM,3161NM,
091428,2804NM,2701NM,2876NM,2693NM,2768NM,3105NM,
091556,2804NM,2706NM,2890NM,2674NM,2775NM,3086NM,
091626,2794NM,2670NM,2876NM,2678NM,2792NM,3105NM,
091728,2790NM,2697NM,2874NM,2684NM,2871NM,3117NM,
092011,2806NM,2697NM,2913NM,2684NM,2781NM,3079NM,
092050,2781NM,2684NM,2869NM,2699NM,2762NM,3083NM,
092114,2787NM,2685NM,2899NM,2701NM,2789NM,3126NM,
092305,2819NM,2691NM,2876NM,2701NM,2796NM,3090NM,
092348,2789NM,2689NM,2892NM,2703NM,2777NM,3086NM,
092414,2775NM,2672NM,2901NM,2712NM,2796NM,3109NM,
092512,2773NM,2685NM,2897NM,2678NM,2802NM,3115NM,
093053,2783NM,2699NM,2920NM,2670NM,2771NM,3151NM,
093148,2781NM,2678NM,2880NM,2672NM,2787NM,3102NM,
093256,2787NM,2706NM,2869NM,2720NM,2773NM,3096NM,
093324,2792NM,2685NM,2886NM,2684NM,2771NM,3102NM,
093355,2790NM,2701NM,2892NM,2701NM,2785NM,3100NM,
093736,2789NM,2680NM,2890NM,2676NM,2775NM,3134NM,
093840,2796NM,2741NM,2911NM,2722NM,2769NM,3083NM,
093911,2789NM,2747NM,2884NM,2678NM,2768NM,3065NM,
093944,2777NM,2691NM,2894NM,2670NM,2775NM,3119NM,
094051,2787NM,2678NM,2880NM,2710NM,2790NM,3092NM,
094159,2781NM,2697NM,2888NM,2689NM,2789NM,3117NM,
094235,2771NM,2684NM,2882NM,2685NM,2790NM,0000NM,
094325,2771NM,2684NM,2890NM,2685NM,2777NM,3100NM,
094350,2789NM,2682NM,2903NM,2693NM,2789NM,3123NM,
094425,2798NM,2697NM,2884NM,2680NM,2783NM,3100NM,
094447,2781NM,2684NM,2871NM,2672NM,2785NM,3067NM,
094532,2794NM,2693NM,2873NM,2678NM,2781NM,3115NM,
094606,2787NM,2682NM,2882NM,2676NM,2773NM,3090NM,
094733,2796NM,2685NM,2871NM,2687NM,2764NM,3140NM,
094859,2771NM,2701NM,2892NM,2685NM,2783NM,3136NM,
094946,2785NM,2689NM,2890NM,2733NM,2785NM,3098NM,
095015,2773NM,2689NM,2882NM,2678NM,2783NM,3109NM,
095357,2779NM,2691NM,2886NM,2691NM,2773NM,3102NM,
095737,2777NM,2684NM,2930NM,2716NM,2789NM,3186NM,
095807,2777NM,2693NM,2899NM,2697NM,2789NM,3104NM,
095840,2777NM,2678NM,2874NM,2682NM,2779NM,3071NM,
095929,2792NM,2685NM,2895NM,2701NM,2777NM,3111NM,
095955,2771NM,2689NM,2874NM,2693NM,2787NM,3113NM,
100210,2783NM,2682NM,2880NM,2705NM,2783NM,3111NM,
100244,2785NM,2685NM,2901NM,2689NM,2852NM,3092NM,
100335,2783NM,2680NM,2936NM,2676NM,2777NM,3098NM,
100402,2787NM,2697NM,2905NM,2674NM,2787NM,3117NM,
100457,2800NM,2689NM,2892NM,2687NM,2764NM,3104NM,
100533,2777NM,2676NM,2886NM,2670NM,2815NM,3146NM,
100628,2785NM,2685NM,2886NM,2699NM,2794NM,3100NM,
100740,2785NM,2674NM,2869NM,2747NM,2798NM,3086NM,
100813,2790NM,0000NM,2882NM,2693NM,2827NM,3107NM,
100841,2796NM,2678NM,2880NM,2664NM,2785NM,3128NM,
100913,2785NM,2714NM,2878NM,2699NM,2779NM,3115NM,
101013,2798NM,2693NM,2873NM,2678NM,2790NM,0000NM,
101043,2790NM,2697NM,2884NM,2689NM,2779NM,3088NM,
101142,2827NM,2687NM,2899NM,2682NM,2790NM,3067NM,
101208,2792NM,2701NM,2873NM,2682NM,2781NM,3098NM,
101309,2775NM,2684NM,2876NM,2693NM,2836NM,0000NM,
163822,2798NM,2691NM,2886NM,2666NM,2785NM,3100NM,
163849,2785NM,2682NM,2960NM,2691NM,2874NM,3140NM,
164020,2787NM,2701NM,2876NM,2678NM,2783NM,3220NM,
164234,2789NM,2699NM,2874NM,2695NM,2785NM,3140NM,
