時間,軸1,軸2,軸3,軸4,軸5,軸6
143842,2779NM,2716NM,2790NM,2680NM,2769NM,3117NM,
143918,2783NM,2701NM,2783NM,2703NM,2787NM,3134NM,
144004,2798NM,2716NM,2781NM,2684NM,2844NM,3144NM,
144031,2825NM,2697NM,2813NM,2689NM,2821NM,3115NM,
144204,2775NM,2689NM,2785NM,2731NM,2840NM,3121NM,
144231,2817NM,2674NM,2813NM,2756NM,2886NM,3088NM,
144752,2832NM,2689NM,2779NM,2697NM,2779NM,3073NM,
144818,2798NM,2720NM,2787NM,2680NM,2813NM,3094NM,
144859,2792NM,2670NM,2777NM,2703NM,2802NM,3126NM,
144923,2800NM,2687NM,2827NM,2706NM,2798NM,3084NM,
145010,2777NM,2697NM,2796NM,2674NM,2769NM,3067NM,
145035,2769NM,2712NM,2823NM,2674NM,2813NM,3159NM,
145202,2781NM,2703NM,2781NM,2720NM,2798NM,3184NM,
145233,2787NM,2684NM,2823NM,2703NM,2831NM,3132NM,
145320,2769NM,2685NM,2775NM,2689NM,2798NM,3090NM,
145407,2779NM,2718NM,2800NM,2666NM,2783NM,3100NM,
145458,2789NM,2668NM,2810NM,2680NM,2760NM,3096NM,
145549,2796NM,2682NM,2779NM,2726NM,2790NM,3126NM,
151538,2781NM,2695NM,2792NM,2691NM,2771NM,3117NM,
151611,2781NM,2693NM,2781NM,2708NM,2775NM,3077NM,
151733,2777NM,2705NM,2775NM,2689NM,2836NM,3178NM,
151814,2873NM,2687NM,2779NM,2672NM,2785NM,3119NM,
151940,2783NM,2680NM,2853NM,2674NM,2789NM,3092NM,
152008,2775NM,2682NM,2771NM,2678NM,2810NM,3119NM,
152106,2787NM,2695NM,2798NM,2720NM,2796NM,3081NM,
152135,1NM,2687NM,2857NM,2676NM,2768NM,3111NM,
152235,2777NM,2747NM,2869NM,2691NM,2787NM,3115NM,
152304,2792NM,2701NM,2785NM,2748NM,2785NM,3146NM,
152405,2853NM,2680NM,2789NM,2693NM,2796NM,3077NM,
152442,2766NM,2741NM,2838NM,2733NM,2827NM,3083NM,
152541,2787NM,2682NM,2771NM,2718NM,2787NM,3125NM,
152607,2773NM,2670NM,2781NM,2687NM,2789NM,3172NM,
152709,2783NM,2691NM,2785NM,2689NM,2790NM,3104NM,
152735,2800NM,2687NM,2785NM,2678NM,2857NM,3104NM,
152835,2873NM,2682NM,2796NM,2691NM,2798NM,3094NM,
152904,2829NM,2697NM,2779NM,2701NM,2773NM,3107NM,
153448,2800NM,2705NM,2779NM,2737NM,2827NM,3084NM,
153517,2800NM,2685NM,2781NM,2708NM,2766NM,3062NM,
153650,2842NM,2684NM,2779NM,2685NM,2789NM,3104NM,
153719,2813NM,2695NM,2800NM,2676NM,2811NM,3075NM,
153830,2790NM,2699NM,2779NM,2685NM,2792NM,3109NM,
153858,2783NM,2693NM,2781NM,2682NM,2768NM,3172NM,
154024,2787NM,2710NM,2789NM,2691NM,2882NM,3123NM,
154051,2825NM,2697NM,2804NM,2695NM,2777NM,3113NM,
154219,2792NM,2739NM,2855NM,2720NM,2790NM,3092NM,
154402,2787NM,2670NM,2827NM,2695NM,2789NM,3168NM,
154506,2802NM,2691NM,2819NM,2712NM,2783NM,3126NM,
154639,2787NM,2727NM,2808NM,2684NM,2796NM,3079NM,
154746,2769NM,2697NM,2785NM,2720NM,2779NM,3096NM,
154812,2773NM,2689NM,2790NM,2685NM,2779NM,3083NM,
154910,2783NM,2684NM,2825NM,2672NM,2777NM,3176NM,
154954,2785NM,2699NM,2792NM,2693NM,2792NM,3104NM,
155120,2802NM,2678NM,2796NM,2701NM,2787NM,3130NM,
155149,2806NM,2678NM,2773NM,2773NM,2785NM,3159NM,
155241,2800NM,2701NM,2785NM,2661NM,2811NM,3149NM,
155308,2792NM,2678NM,2781NM,2676NM,2783NM,3146NM,
155530,2790NM,2703NM,2777NM,2676NM,2766NM,3167NM,
155556,2779NM,2691NM,2790NM,2680NM,2792NM,3123NM,
155642,2825NM,2685NM,2804NM,2678NM,2821NM,3088NM,
155713,2783NM,2680NM,2766NM,2718NM,2766NM,3134NM,
160803,2802NM,2689NM,2781NM,2691NM,2777NM,3113NM,
160828,2811NM,2672NM,2781NM,2693NM,2789NM,3157NM,
160920,2813NM,2680NM,2787NM,2668NM,2790NM,3130NM,
160947,2829NM,2701NM,2821NM,2693NM,2823NM,3081NM,
161034,2781NM,2714NM,2773NM,2682NM,2775NM,3134NM,
161147,2NM,2689NM,2781NM,2691NM,2771NM,3115NM,
161331,2792NM,2689NM,2850NM,2750NM,2804NM,3084NM,
161400,2813NM,2783NM,2771NM,2727NM,2806NM,3083NM,
161454,2813NM,2705NM,2777NM,2666NM,2831NM,3107NM,
161521,2834NM,2684NM,2783NM,2695NM,2790NM,3092NM,
161851,2706NM,2827NM,3079NM,
173012,2823NM,2699NM,2769NM,2699NM,2796NM,3134NM,
173354,2852NM,2693NM,2804NM,2726NM,2823NM,3094NM,
191244,2781NM,2703NM,2783NM,2701NM,2829NM,3107NM,
191700,2777NM,2705NM,2821NM,2708NM,2827NM,3165NM,
191725,2823NM,2754NM,2785NM,2672NM,2825NM,3083NM,
191753,2855NM,2769NM,2794NM,2714NM,2800NM,3077NM,
191846,2798NM,2718NM,2832NM,2693NM,2787NM,3151NM,
191913,2769NM,2678NM,2773NM,2695NM,2848NM,3189NM,
192011,2811NM,2722NM,2806NM,2756NM,2779NM,3140NM,
192044,2798NM,2710NM,2802NM,2695NM,2789NM,3069NM,
192621,2789NM,2697NM,2785NM,2680NM,2781NM,3102NM,
192725,2848NM,2699NM,2817NM,2760NM,2819NM,3104NM,
192801,2794NM,2703NM,2796NM,2802NM,2804NM,3132NM,
