時間,軸1,軸2,軸3,軸4,軸5,軸6
092444,3065NM,3050NM,3220NM,2999NM,2978NM,3092NM,
092752,3033NM,2995NM,3203NM,3054NM,2991NM,3102NM,
094433,3050NM,3008NM,3243NM,3054NM,3004NM,3113NM,
094452,3071NM,3020NM,3235NM,3052NM,3100NM,3136NM,
094725,2972NM,2880NM,2876NM,2874NM,2972NM,2913NM,
095513,0000NM,0000NM,0000NM,0000NM,0000NM,0000NM,
095551,2924NM,2939NM,2888NM,2951NM,2915NM,2945NM,
095705,2941NM,2873NM,2987NM,3004NM,2936NM,2890NM,
095947,2924NM,2903NM,2951NM,2945NM,2945NM,2939NM,
100214,2888NM,2922NM,3230NM,2901NM,2966NM,2941NM,
100732,2941NM,2901NM,3130NM,2991NM,2903NM,2962NM,
100831,2873NM,2916NM,3119NM,2939NM,2895NM,2909NM,
100939,2882NM,2897NM,3168NM,2880NM,2890NM,2934NM,
101233,2874NM,2905NM,3107NM,2964NM,2907NM,3126NM,
101345,2926NM,2932NM,3174NM,2937NM,2941NM,3132NM,
101932,2930NM,2918NM,3193NM,2897NM,2892NM,3109NM,
102031,2878NM,2943NM,3079NM,2915NM,2901NM,3136NM,
102214,2888NM,2907NM,3117NM,2913NM,2895NM,3138NM,
102412,2903NM,2970NM,3159NM,2955NM,3031NM,3146NM,
102614,2892NM,2934NM,3113NM,2920NM,3033NM,3140NM,
103010,2949NM,2932NM,3138NM,2901NM,3004NM,3161NM,
103118,2911NM,2937NM,3157NM,2867NM,3021NM,3123NM,
103350,2936NM,2957NM,3130NM,2888NM,3025NM,3126NM,
112614,2892NM,2890NM,3167NM,2907NM,3031NM,3140NM,
112747,2911NM,2924NM,3195NM,2913NM,3018NM,3186NM,
112853,2888NM,2886NM,3088NM,2884NM,3107NM,3111NM,
112941,2926NM,2932NM,3132NM,2993NM,2976NM,3165NM,
113037,2920NM,2901NM,3144NM,2939NM,2979NM,3092NM,
113127,2899NM,2909NM,3094NM,2957NM,3016NM,3149NM,
115101,2916NM,2901NM,3102NM,2985NM,3098NM,3140NM,
115312,2890NM,2918NM,3069NM,2895NM,3098NM,3128NM,
115512,2903NM,2876NM,3193NM,2907NM,3138NM,3188NM,
115709,2905NM,2926NM,3134NM,2955NM,3132NM,3159NM,
115748,2958NM,2951NM,3077NM,2918NM,3098NM,3159NM,
134219,2886NM,2974NM,3100NM,2913NM,3113NM,3136NM,
134329,2970NM,2924NM,3098NM,2968NM,3104NM,3155NM,
134420,2911NM,2943NM,3107NM,2899NM,3111NM,3130NM,
134505,2894NM,2949NM,3073NM,2888NM,3098NM,3063NM,
134554,2886NM,2905NM,3083NM,2894NM,3123NM,3147NM,
134652,2939NM,2892NM,3195NM,2899NM,3084NM,3147NM,
134741,2920NM,2939NM,3079NM,2888NM,3100NM,3134NM,
134829,2989NM,2907NM,3105NM,2937NM,3104NM,3126NM,
134923,2941NM,2964NM,3084NM,2916NM,3090NM,3125NM,
135019,2991NM,2924NM,3155NM,2928NM,3077NM,3142NM,
140846,2894NM,2907NM,3167NM,2894NM,3174NM,3144NM,
141055,2873NM,2930NM,3161NM,2895NM,3138NM,3115NM,
141258,2892NM,2924NM,3136NM,2981NM,3096NM,3130NM,
141434,2957NM,2922NM,3170NM,2915NM,3100NM,3199NM,
141624,2955NM,2901NM,3088NM,2958NM,3094NM,3161NM,
143508,2945NM,2907NM,3165NM,2993NM,3107NM,3138NM,
143724,2882NM,2964NM,3126NM,2901NM,3111NM,3149NM,
143930,2878NM,2897NM,3107NM,2943NM,3111NM,3146NM,
144153,2949NM,2947NM,3126NM,2949NM,3128NM,3168NM,
144419,2873NM,2899NM,3094NM,0000NM,3130NM,3109NM,
153553,2903NM,2880NM,3130NM,2853NM,3100NM,3153NM,
153735,2915NM,2873NM,3075NM,2915NM,3081NM,3098NM,
153917,2922NM,2884NM,3113NM,2936NM,3090NM,3123NM,
154111,2907NM,2878NM,3144NM,2874NM,3069NM,3203NM,
154313,2895NM,2955NM,3065NM,2979NM,3126NM,3155NM,
161626,2890NM,2909NM,3075NM,2901NM,3071NM,3113NM,
161828,2920NM,2928NM,3111NM,2905NM,3100NM,3104NM,
162308,2915NM,2951NM,3109NM,2949NM,3123NM,3151NM,
162449,2936NM,2926NM,3102NM,2999NM,3153NM,3105NM,
162640,2905NM,2901NM,3105NM,2937NM,3128NM,3123NM,
163018,2895NM,2922NM,3144NM,2934NM,3113NM,3151NM,
163126,2949NM,2920NM,3083NM,2855NM,3130NM,3168NM,
