時間,軸1,軸2,軸3,軸4,軸5,軸6
092332,2790NM,2684NM,2876NM,2670NM,2796NM,3096NM,
092410,2771NM,2684NM,2876NM,2685NM,2787NM,3092NM,
092642,2785NM,2708NM,2878NM,2687NM,2811NM,3149NM,
092724,2787NM,2727NM,2874NM,2689NM,2769NM,3128NM,
092845,2790NM,2684NM,2905NM,2701NM,2773NM,3126NM,
093845,2825NM,3123NM,
093859,2773NM,2697NM,2888NM,2678NM,2781NM,3075NM,
093947,2773NM,2697NM,2888NM,2699NM,2777NM,3077NM,
094011,2781NM,2676NM,2888NM,2737NM,2834NM,3086NM,
094049,2783NM,2701NM,2895NM,2703NM,2771NM,3094NM,
094121,2785NM,2712NM,2884NM,2748NM,2781NM,3105NM,
094204,2794NM,2722NM,2895NM,2670NM,2771NM,3104NM,
094303,2779NM,2697NM,2890NM,2718NM,2813NM,3125NM,
094340,2800NM,2693NM,2882NM,2684NM,2789NM,3077NM,
094413,2769NM,2701NM,2890NM,2710NM,2779NM,3126NM,
094455,2785NM,2691NM,2901NM,2695NM,2790NM,3075NM,
094524,2796NM,2685NM,2871NM,2697NM,2796NM,3128NM,
094600,2787NM,2729NM,2886NM,2687NM,2836NM,3111NM,
094635,2792NM,2741NM,2880NM,2699NM,2783NM,3121NM,
094712,2781NM,2699NM,2928NM,2680NM,2790NM,3140NM,
094745,2787NM,2697NM,2892NM,2668NM,2794NM,3151NM,
094908,2790NM,2756NM,2918NM,2726NM,2785NM,3119NM,
094934,2779NM,2687NM,2869NM,2712NM,2794NM,3178NM,
095727,1NM,2697NM,2907NM,2701NM,2781NM,3138NM,
095755,2789NM,2701NM,2892NM,2697NM,2798NM,3123NM,
095838,2783NM,2693NM,2895NM,2693NM,2779NM,3094NM,
095905,2800NM,2722NM,2884NM,2727NM,2787NM,3142NM,
095949,2800NM,2685NM,2873NM,2668NM,2781NM,3073NM,
100016,2773NM,2703NM,2884NM,2680NM,2794NM,3142NM,
100302,2771NM,2699NM,2930NM,2739NM,2783NM,3073NM,
100330,2796NM,2678NM,2895NM,2666NM,2790NM,3075NM,
100419,2768NM,2699NM,2886NM,2750NM,2798NM,3130NM,
100621,2810NM,2697NM,2890NM,2680NM,2783NM,3119NM,
100847,2789NM,2693NM,2936NM,2695NM,2796NM,3104NM,
100915,2796NM,2705NM,2894NM,2689NM,2783NM,3081NM,
100945,2783NM,2676NM,2892NM,2682NM,2766NM,3163NM,
101159,2787NM,2685NM,2894NM,2691NM,2785NM,3193NM,
101239,2798NM,2693NM,2886NM,2693NM,2766NM,3084NM,
101339,2781NM,2689NM,2955NM,2684NM,2789NM,3098NM,
101406,2771NM,2689NM,2892NM,2697NM,2886NM,3084NM,
101431,2787NM,2697NM,2911NM,2685NM,2802NM,3147NM,
101534,2815NM,2699NM,2884NM,2691NM,2783NM,3111NM,
101558,2785NM,2672NM,2890NM,2685NM,2794NM,3096NM,
101653,2810NM,2689NM,2874NM,2705NM,2783NM,3130NM,
101718,2779NM,2718NM,2895NM,2705NM,2792NM,3123NM,
101825,2790NM,2685NM,2869NM,2705NM,2798NM,3086NM,
101910,2771NM,2687NM,2934NM,2710NM,2775NM,3136NM,
102000,2800NM,2693NM,2880NM,2680NM,2787NM,3191NM,
102037,2796NM,2684NM,2888NM,2691NM,2796NM,3111NM,
102109,2796NM,2684NM,2878NM,2691NM,2792NM,3113NM,
110000,2787NM,2682NM,2878NM,2779NM,2787NM,3128NM,
110026,2773NM,2684NM,2964NM,2689NM,2785NM,3123NM,
110106,2808NM,2695NM,2890NM,2689NM,2769NM,3126NM,
110128,2804NM,2678NM,2886NM,2699NM,2825NM,3146NM,
110224,2787NM,2685NM,2873NM,2678NM,2768NM,3113NM,
110250,2775NM,2697NM,2882NM,2680NM,2781NM,3119NM,
110348,2779NM,2792NM,2886NM,2714NM,2789NM,3153NM,
110422,2769NM,2699NM,2928NM,2687NM,2796NM,3092NM,
110517,2790NM,2689NM,2895NM,2674NM,2769NM,3136NM,
110552,2794NM,2687NM,2878NM,2659NM,2768NM,0000NM,
111935,
111938,2790NM,2678NM,2888NM,2703NM,2796NM,3138NM,
112417,0000NM,0000NM,0000NM,0000NM,0000NM,3056NM,
112527,2846NM,2722NM,2880NM,2710NM,2825NM,3149NM,
112607,2852NM,2768NM,2939NM,2714NM,2787NM,3102NM,
112633,2775NM,2682NM,2890NM,2705NM,2787NM,3136NM,
112722,2779NM,2693NM,2878NM,2687NM,2859NM,3184NM,
112823,2779NM,2680NM,2974NM,2689NM,2815NM,3134NM,
112848,2789NM,2705NM,2882NM,2680NM,2779NM,3180NM,
112952,2777NM,2741NM,2916NM,2733NM,2766NM,3090NM,
113020,2785NM,2693NM,2873NM,2682NM,2773NM,3168NM,
113116,2815NM,2678NM,2899NM,2676NM,2781NM,3138NM,
113145,2800NM,2695NM,2878NM,2754NM,2794NM,3140NM,
113243,2783NM,2680NM,2884NM,2678NM,2779NM,3094NM,
113310,2865NM,2737NM,2947NM,2794NM,2771NM,3147NM,
113409,0000NM,2684NM,2876NM,2693NM,2796NM,3073NM,
115750,2781NM,2726NM,2907NM,2695NM,2785NM,3090NM,
115815,2775NM,2697NM,2899NM,2689NM,2789NM,3102NM,
115841,2789NM,2682NM,2886NM,2695NM,2806NM,3109NM,
115924,2789NM,2710NM,2882NM,2712NM,2773NM,3077NM,
115952,2775NM,2697NM,2886NM,2699NM,2771NM,3084NM,
120033,2798NM,2657NM,2981NM,2687NM,2790NM,3144NM,
120233,2790NM,2695NM,2874NM,2739NM,2781NM,3140NM,
120302,2800NM,2693NM,2951NM,2676NM,2792NM,3128NM,
120407,2789NM,2685NM,2958NM,2722NM,2779NM,3149NM,
120432,2779NM,2708NM,2909NM,2674NM,2789NM,3092NM,
120619,2785NM,2693NM,2874NM,2729NM,2794NM,3159NM,
120646,2802NM,2676NM,2897NM,2666NM,2827NM,3136NM,
121339,2787NM,2676NM,2873NM,2693NM,2773NM,3092NM,
121403,2785NM,2693NM,2876NM,2678NM,2871NM,3090NM,
122759,2769NM,2682NM,2895NM,2697NM,2783NM,3092NM,
122830,2796NM,2680NM,2886NM,2670NM,2815NM,3182NM,
122904,2773NM,2693NM,2903NM,2699NM,2810NM,3149NM,
122945,2798NM,0000NM,2886NM,2691NM,2792NM,3104NM,
140622,2785NM,0000NM,2878NM,2676NM,2785NM,3155NM,
140638,2781NM,2685NM,2884NM,2680NM,2781NM,3096NM,
140747,2792NM,2697NM,2873NM,2714NM,2787NM,3121NM,
140814,2796NM,2712NM,2941NM,2666NM,2790NM,3090NM,
140903,2806NM,2682NM,2888NM,2701NM,2790NM,3142NM,
140930,2796NM,2685NM,2871NM,2682NM,2779NM,3153NM,
141049,2811NM,2687NM,2920NM,2703NM,2779NM,3102NM,
141120,2769NM,2682NM,2878NM,2674NM,2781NM,3161NM,
141235,2800NM,2684NM,2926NM,2664NM,2785NM,3115NM,
141301,2789NM,2687NM,2960NM,2687NM,2783NM,3075NM,
141348,2779NM,2703NM,2924NM,2693NM,2844NM,3140NM,
141413,2783NM,2687NM,2882NM,2668NM,2794NM,3065NM,
141500,2787NM,2685NM,2901NM,2684NM,2771NM,3117NM,
141527,2777NM,2718NM,2892NM,2716NM,2768NM,3094NM,
141601,2848NM,2684NM,2895NM,2668NM,2792NM,3111NM,
141629,2794NM,2691NM,2890NM,2724NM,2798NM,3111NM,
141740,2785NM,2682NM,2878NM,2659NM,2817NM,3147NM,
141806,2789NM,2691NM,2888NM,2693NM,2798NM,3088NM,
141837,2769NM,2674NM,2886NM,2672NM,2787NM,3081NM,
142000,2775NM,2687NM,2932NM,2685NM,2768NM,3083NM,
142028,2771NM,2689NM,2876NM,2682NM,2783NM,3086NM,
142210,1NM,2703NM,2882NM,2687NM,2777NM,3167NM,
142238,2804NM,2685NM,2878NM,2701NM,2769NM,3126NM,
142328,2779NM,2684NM,2873NM,2682NM,2787NM,3146NM,
142355,2773NM,2699NM,2886NM,2712NM,2764NM,3039NM,
142625,2773NM,2684NM,2884NM,2687NM,2789NM,3081NM,
142701,2773NM,2695NM,2924NM,2666NM,2769NM,3077NM,
142748,2769NM,2672NM,2897NM,2668NM,2775NM,3065NM,
142847,2787NM,2687NM,2882NM,2699NM,2777NM,3098NM,
142924,2787NM,2693NM,2886NM,2676NM,2783NM,3062NM,
142952,2781NM,2687NM,2878NM,2716NM,2792NM,3123NM,
143041,2794NM,2670NM,2871NM,2674NM,2773NM,3155NM,
143109,2829NM,2685NM,2894NM,2682NM,2775NM,3104NM,
143237,2771NM,2672NM,2888NM,2739NM,2785NM,3090NM,
143304,2779NM,2691NM,2878NM,2705NM,2775NM,3125NM,
143437,2792NM,2687NM,2892NM,2743NM,2768NM,3224NM,
145043,2800NM,0000NM,2901NM,2682NM,2771NM,3155NM,
145059,2773NM,2701NM,2890NM,2705NM,2787NM,3094NM,
145123,2785NM,2672NM,2892NM,2678NM,2769NM,3128NM,
145207,2789NM,2693NM,2880NM,2682NM,2808NM,3102NM,
145238,2794NM,2689NM,2888NM,2701NM,2777NM,3119NM,
145325,2836NM,2695NM,2890NM,2684NM,2802NM,3113NM,
145530,2781NM,2672NM,2886NM,2664NM,2792NM,3079NM,
152303,2775NM,2684NM,2886NM,2672NM,2769NM,3102NM,
153047,2773NM,2712NM,2899NM,2699NM,2781NM,3115NM,
153220,2781NM,2687NM,2888NM,2695NM,2794NM,3111NM,
153701,2787NM,2672NM,2859NM,2685NM,2777NM,3073NM,
153739,2798NM,2682NM,2874NM,2676NM,2777NM,3081NM,
154213,2773NM,2695NM,2876NM,2674NM,2781NM,3096NM,
154247,2768NM,2666NM,2894NM,2689NM,2792NM,3147NM,
154401,2783NM,2689NM,2884NM,2685NM,2785NM,3147NM,
154441,2796NM,2685NM,2886NM,2701NM,2794NM,3142NM,
154619,2785NM,2682NM,2878NM,2691NM,2785NM,3119NM,
154703,2779NM,2685NM,2884NM,2699NM,2777NM,3105NM,
154739,2787NM,2691NM,2890NM,2653NM,2796NM,3151NM,
154805,2800NM,2695NM,2884NM,2697NM,2785NM,3100NM,
154848,2775NM,2680NM,2876NM,2727NM,2783NM,3136NM,
154922,2790NM,2693NM,2905NM,2682NM,2768NM,3067NM,
155033,2785NM,2689NM,2922NM,2693NM,2768NM,3096NM,
155056,2773NM,2689NM,2901NM,2697NM,2769NM,3105NM,
155126,2773NM,2670NM,2890NM,2703NM,2792NM,3079NM,
155151,2781NM,2687NM,2876NM,2682NM,2773NM,3107NM,
155236,2798NM,2701NM,2876NM,2684NM,2781NM,3128NM,
155258,2777NM,2693NM,2884NM,2701NM,2789NM,3214NM,
155335,2785NM,2699NM,2876NM,2693NM,2796NM,3174NM,
155402,2785NM,0000NM,2890NM,2670NM,2792NM,3083NM,
161650,2802NM,2682NM,2894NM,2714NM,2779NM,3146NM,
161723,2783NM,2695NM,2873NM,2682NM,2775NM,3092NM,
161748,2775NM,2684NM,2913NM,2716NM,2804NM,3098NM,
161829,2781NM,2689NM,2884NM,2678NM,2775NM,3159NM,
161851,2771NM,2674NM,2895NM,2693NM,2787NM,3102NM,
162004,2798NM,2695NM,2878NM,2684NM,2789NM,3126NM,
162036,2790NM,2693NM,2926NM,2699NM,2785NM,3107NM,
162115,2794NM,2693NM,2867NM,2684NM,2777NM,3107NM,
162139,2800NM,2676NM,2886NM,2691NM,2785NM,3094NM,
162218,2785NM,2727NM,2880NM,2685NM,2810NM,3079NM,
162315,2777NM,2693NM,2907NM,2712NM,2796NM,3186NM,
162338,2787NM,2672NM,2890NM,2676NM,2762NM,3102NM,
162442,2800NM,2682NM,2895NM,2682NM,2787NM,3228NM,
194025,0000NM,0000NM,0000NM,0000NM,0000NM,2766NM,
202758,2779NM,2674NM,2888NM,2687NM,2792NM,3165NM,
202925,2779NM,2695NM,2873NM,2724NM,2775NM,3104NM,
203032,2790NM,2693NM,2876NM,2735NM,2798NM,3161NM,
