時間,軸1,軸2,軸3,軸4,軸5,軸6
150056,2193NM,2225NM,2201NM,2197NM,2233NM,2252NM,
151212,2223NM,2248NM,2191NM,2248NM,2225NM,2185NM,
151433,0000NM,0000NM,0000NM,0000NM,0000NM,0000NM,
152904,2210NM,2202NM,2233NM,2201NM,2229NM,2201NM,
153122,2204NM,2231NM,2235NM,2199NM,2201NM,2195NM,
153313,2222NM,2201NM,2237NM,2195NM,2241NM,2231NM,
153457,2201NM,2201NM,2206NM,2218NM,2201NM,2202NM,
153639,2201NM,2220NM,2195NM,2227NM,2199NM,2214NM,
153852,2223NM,2206NM,2197NM,2214NM,2181NM,2243NM,
154445,0000NM,0000NM,0000NM,0000NM,0000NM,0000NM,
155025,0000NM,0000NM,0000NM,0000NM,0000NM,0000NM,
155452,0000NM,0000NM,0000NM,0000NM,0000NM,0000NM,
160131,0000NM,0000NM,0000NM,0000NM,0000NM,0000NM,
160427,1NM,0000NM,0000NM,0000NM,0000NM,0000NM,
161205,2193NM,2243NM,2201NM,2210NM,2223NM,2239NM,
164207,2199NM,2252NM,2195NM,0000NM,2202NM,2201NM,
164741,2191NM,2214NM,2191NM,2233NM,2187NM,2193NM,
182336,2189NM,2223NM,2199NM,2233NM,2231NM,2185NM,
