時間,軸1,軸2,軸3,軸4,軸5,軸6
105649,0000NM,0000NM,0000NM,0000NM,0000NM,0000NM,
110754,2785NM,2685NM,2895NM,2670NM,2785NM,3136NM,
110822,2794NM,2699NM,2869NM,2699NM,2777NM,3088NM,
110849,2785NM,2685NM,2899NM,2695NM,2794NM,3138NM,
110917,2787NM,2695NM,2873NM,2684NM,2783NM,3125NM,
110958,2819NM,2703NM,2899NM,2701NM,2787NM,3100NM,
111021,2781NM,2687NM,2888NM,2674NM,2777NM,3128NM,
111100,2785NM,2670NM,2892NM,2687NM,2779NM,3086NM,
111128,2771NM,2678NM,2886NM,2680NM,2884NM,3105NM,
111204,2775NM,2691NM,2880NM,2701NM,2781NM,3090NM,
111227,2773NM,2672NM,2894NM,2714NM,2773NM,3115NM,
111329,2792NM,2684NM,2874NM,2670NM,2785NM,3081NM,
111355,2790NM,2687NM,2884NM,2678NM,2769NM,3107NM,
111441,2796NM,2685NM,2905NM,2720NM,2800NM,3100NM,
111507,2792NM,2676NM,2878NM,2674NM,2777NM,3100NM,
111543,2773NM,2695NM,2892NM,2697NM,2769NM,3086NM,
111611,2775NM,2716NM,2886NM,2718NM,2789NM,3081NM,
111657,2794NM,2691NM,2909NM,2697NM,2792NM,3065NM,
111724,2777NM,2693NM,2884NM,2672NM,2783NM,3084NM,
111810,2777NM,2693NM,2873NM,2689NM,2794NM,3180NM,
111833,2792NM,2670NM,2911NM,2695NM,2768NM,3075NM,
111922,2785NM,2687NM,2953NM,2676NM,2800NM,3126NM,
111944,2773NM,2699NM,2890NM,2668NM,2794NM,3115NM,
112031,2769NM,2678NM,2874NM,2682NM,2781NM,3184NM,
112058,2781NM,2672NM,2878NM,2718NM,2789NM,3153NM,
112458,2796NM,2691NM,2880NM,2672NM,2787NM,3147NM,
112525,2796NM,2680NM,2934NM,2697NM,2796NM,3123NM,
112612,2802NM,2685NM,2892NM,2697NM,2792NM,3132NM,
112639,2775NM,2682NM,2895NM,2691NM,2789NM,3126NM,
112729,2785NM,2687NM,2894NM,2685NM,2777NM,3119NM,
112754,2798NM,2689NM,2882NM,2680NM,2792NM,3083NM,
112845,2798NM,2682NM,2888NM,2684NM,2781NM,3121NM,
112911,2781NM,2701NM,2882NM,2726NM,2771NM,3128NM,
112945,2790NM,2701NM,2895NM,2676NM,2798NM,3119NM,
113151,2789NM,2699NM,2924NM,2710NM,2789NM,3174NM,
113233,2789NM,2687NM,2880NM,2689NM,2787NM,3172NM,
113321,2806NM,2701NM,2890NM,2695NM,2789NM,3159NM,
113351,2785NM,2670NM,2903NM,2684NM,2792NM,3170NM,
113457,2789NM,2693NM,2884NM,2691NM,2779NM,3075NM,
113522,2777NM,2674NM,2886NM,2678NM,2777NM,3063NM,
113608,2798NM,2689NM,2882NM,2680NM,2779NM,3113NM,
113633,2794NM,2682NM,2901NM,2668NM,2777NM,3132NM,
113752,2771NM,2678NM,2878NM,2697NM,2804NM,3105NM,
