時間,軸1,軸2,軸3,軸4,軸5,軸6
085925,2787NM,2703NM,2792NM,2693NM,2790NM,3067NM,
090001,2823NM,2674NM,2844NM,2689NM,2792NM,2966NM,
090100,2794NM,2699NM,2792NM,2703NM,2787NM,3023NM,
090127,2775NM,2687NM,2781NM,2682NM,2785NM,3107NM,
090211,2798NM,2748NM,2790NM,2735NM,2785NM,3006NM,
090240,2789NM,2689NM,2787NM,2703NM,2787NM,3062NM,
090324,2825NM,2687NM,2808NM,2747NM,2789NM,2979NM,
090351,2811NM,2672NM,2779NM,2710NM,2783NM,3006NM,
090439,2779NM,2691NM,2823NM,2682NM,2769NM,3006NM,
090504,2789NM,2687NM,2815NM,2678NM,2796NM,3018NM,
090644,2819NM,2695NM,2802NM,2685NM,2829NM,3063NM,
090712,2783NM,2684NM,2777NM,2689NM,2775NM,3002NM,
090757,2790NM,2722NM,2798NM,2689NM,2836NM,2978NM,
094626,2825NM,2697NM,2790NM,2701NM,2775NM,3000NM,
094655,2865NM,2789NM,2897NM,2806NM,2955NM,3035NM,
094723,2855NM,2834NM,2852NM,2821NM,2991NM,3033NM,
095031,2918NM,2863NM,2861NM,2844NM,2987NM,3012NM,
095244,2874NM,2817NM,2867NM,2827NM,3031NM,3056NM,
095340,2865NM,2821NM,2853NM,2827NM,2918NM,3058NM,
095447,2846NM,2871NM,2871NM,2806NM,2941NM,3052NM,
095532,2876NM,2771NM,2829NM,2815NM,2972NM,3014NM,
100602,2859NM,2796NM,2874NM,2844NM,3042NM,3056NM,
100629,2867NM,2810NM,2934NM,2832NM,2949NM,3037NM,
100733,2880NM,2802NM,2844NM,2827NM,2978NM,3067NM,
100804,2853NM,2859NM,2886NM,2850NM,2953NM,3037NM,
100932,2859NM,2808NM,2880NM,2829NM,3037NM,3056NM,
101004,2934NM,2817NM,2865NM,2829NM,3010NM,3020NM,
101224,2853NM,2810NM,2865NM,2840NM,3016NM,3065NM,
101330,2905NM,2785NM,2876NM,2861NM,2918NM,2993NM,
101752,2913NM,2819NM,2829NM,2853NM,3016NM,3054NM,
101828,2897NM,2831NM,2926NM,2831NM,2968NM,3052NM,
102030,2911NM,2817NM,2892NM,2792NM,3014NM,3094NM,
102115,2897NM,2831NM,2867NM,2852NM,2941NM,3023NM,
102239,2880NM,2832NM,2880NM,2810NM,2945NM,3031NM,
102308,2905NM,2800NM,2831NM,2819NM,2928NM,3090NM,
103020,2852NM,2819NM,2903NM,2798NM,3004NM,3079NM,
103052,2888NM,2811NM,2863NM,2897NM,2943NM,3027NM,
105055,2894NM,2827NM,2886NM,2832NM,2964NM,3029NM,
105146,2867NM,2779NM,2915NM,2787NM,2943NM,3062NM,
105224,2892NM,2827NM,2855NM,2871NM,2941NM,2991NM,
105331,2897NM,2806NM,2913NM,2859NM,2943NM,3041NM,
105401,2878NM,2842NM,2861NM,2789NM,2922NM,3088NM,
105619,2926NM,2834NM,2842NM,2787NM,2999NM,3050NM,
105645,2878NM,2827NM,2853NM,2853NM,2978NM,3041NM,
105745,2876NM,2813NM,2895NM,2819NM,2983NM,3086NM,
105856,2903NM,2853NM,2846NM,2823NM,2966NM,3071NM,
105924,2905NM,2821NM,2853NM,2823NM,2979NM,3052NM,
105954,2901NM,2808NM,2829NM,2871NM,3031NM,3073NM,
110054,2903NM,2808NM,2926NM,2884NM,2949NM,3025NM,
110122,2831NM,2825NM,2869NM,2827NM,2979NM,3077NM,
110211,2825NM,2792NM,2848NM,2842NM,3016NM,3025NM,
110243,2882NM,2808NM,2880NM,2802NM,2970NM,2991NM,
113110,2857NM,2808NM,2869NM,2802NM,2989NM,0000NM,
113138,2926NM,2850NM,2907NM,2787NM,2987NM,3041NM,
113334,2859NM,2838NM,2852NM,2781NM,2999NM,3094NM,
113406,2903NM,2815NM,2844NM,2855NM,2941NM,3056NM,
113519,2911NM,2850NM,2878NM,2832NM,2953NM,3042NM,
113557,0000NM,2827NM,2916NM,2842NM,2981NM,3063NM,
113719,2873NM,2892NM,2918NM,2831NM,2979NM,3008NM,
113749,2857NM,2831NM,2848NM,2781NM,2976NM,3065NM,
113912,2882NM,2777NM,2876NM,2836NM,2922NM,2983NM,
113939,2890NM,2817NM,2905NM,2821NM,2958NM,3033NM,
114032,2855NM,2850NM,2838NM,2802NM,2960NM,3062NM,
114101,2852NM,2769NM,2846NM,2859NM,2966NM,2968NM,
114430,2861NM,2775NM,2840NM,2836NM,2987NM,3060NM,
114502,2871NM,2859NM,2909NM,2825NM,2966NM,3073NM,
114603,2886NM,2852NM,2861NM,2819NM,2943NM,3041NM,
114633,2861NM,2787NM,2871NM,2800NM,2915NM,3050NM,
114723,2871NM,2811NM,2857NM,2806NM,3023NM,3044NM,
114750,2890NM,2823NM,2823NM,2842NM,2974NM,3060NM,
114844,2888NM,2792NM,2853NM,2834NM,2979NM,3035NM,
114914,2882NM,2836NM,2861NM,2880NM,3025NM,3094NM,
114957,2911NM,2796NM,2853NM,2827NM,2962NM,3084NM,
115050,2867NM,2815NM,2894NM,2821NM,2960NM,3023NM,
115119,2848NM,2825NM,2945NM,2831NM,2934NM,3020NM,
115212,2853NM,2811NM,2871NM,2831NM,2997NM,3102NM,
115242,2897NM,2808NM,2821NM,2853NM,2941NM,3004NM,
115325,2918NM,2790NM,2829NM,2821NM,2928NM,3042NM,
120212,2884NM,0000NM,2894NM,2855NM,2993NM,3090NM,
120239,2874NM,2798NM,2882NM,2806NM,2960NM,3041NM,
120402,2878NM,2836NM,2823NM,2842NM,2947NM,3081NM,
120444,2850NM,2827NM,2874NM,2863NM,2924NM,3098NM,
120548,2903NM,2876NM,2924NM,2869NM,2920NM,3062NM,
120618,2871NM,2811NM,2901NM,2895NM,2978NM,3014NM,
120705,2876NM,2821NM,2857NM,2827NM,2951NM,3062NM,
120746,2832NM,2811NM,2861NM,0000NM,2962NM,3065NM,
121410,2831NM,0000NM,0000NM,2819NM,3063NM,3048NM,
121521,2842NM,2810NM,2886NM,2829NM,2972NM,3109NM,
121547,2861NM,2792NM,2941NM,2825NM,2949NM,3050NM,
121641,2886NM,2789NM,2838NM,2800NM,2918NM,3016NM,
121754,2861NM,2844NM,2838NM,2819NM,2987NM,3031NM,
121840,2871NM,2859NM,2903NM,2829NM,2947NM,3037NM,
121919,2907NM,2829NM,2874NM,2800NM,2962NM,3096NM,
122023,2857NM,2817NM,2821NM,2789NM,2934NM,3065NM,
122053,2834NM,2838NM,2894NM,2798NM,2995NM,3029NM,
122611,2829NM,2811NM,2844NM,2840NM,2930NM,3052NM,
123247,2916NM,2857NM,2913NM,2842NM,2955NM,3035NM,
130740,2874NM,2794NM,2853NM,2842NM,3029NM,3077NM,
130807,2907NM,2842NM,2838NM,2829NM,2932NM,3029NM,
130849,2869NM,2806NM,2907NM,2873NM,2974NM,2987NM,
131042,2884NM,2781NM,2888NM,2894NM,2979NM,3065NM,
131415,2874NM,2817NM,0000NM,2804NM,3029NM,3077NM,
131430,2874NM,2850NM,2855NM,2844NM,2985NM,3027NM,
131550,2918NM,2848NM,2840NM,2808NM,3021NM,3016NM,
131643,2897NM,2834NM,2901NM,2829NM,2995NM,3083NM,
131904,2876NM,2831NM,2848NM,2874NM,2974NM,3058NM,
131934,2878NM,2857NM,2928NM,2894NM,3004NM,3035NM,
132113,2867NM,2815NM,2832NM,2811NM,3016NM,3023NM,
132152,2844NM,2815NM,2842NM,0000NM,2993NM,3012NM,
132422,2859NM,2771NM,2871NM,2836NM,2953NM,3065NM,
132452,2840NM,2853NM,2855NM,2859NM,2968NM,3063NM,
132652,2907NM,2844NM,2932NM,2846NM,2928NM,3035NM,
132719,2880NM,2861NM,2873NM,2789NM,2957NM,2968NM,
132814,2928NM,2781NM,2905NM,2802NM,2926NM,3065NM,
132912,2823NM,2806NM,2838NM,2882NM,2937NM,3077NM,
133006,2842NM,2829NM,2863NM,2810NM,2955NM,3088NM,
133036,2865NM,2802NM,2852NM,2832NM,3010NM,3039NM,
133123,2895NM,2800NM,2897NM,2792NM,2974NM,3119NM,
133152,2905NM,2842NM,2878NM,2811NM,2953NM,3050NM,
133541,2882NM,2796NM,2886NM,2882NM,3058NM,3058NM,
133609,2852NM,2798NM,2838NM,2844NM,3012NM,3062NM,
135547,2909NM,2831NM,2913NM,2827NM,2991NM,3035NM,
135613,2863NM,2802NM,2886NM,2832NM,3000NM,3042NM,
135709,2937NM,2857NM,2867NM,2785NM,2957NM,3037NM,
135735,2939NM,2867NM,2890NM,2850NM,2999NM,3025NM,
135832,2920NM,2846NM,2878NM,2783NM,2989NM,2989NM,
135858,2907NM,2819NM,2911NM,2832NM,2953NM,3065NM,
140037,2867NM,2869NM,2844NM,2831NM,2966NM,3063NM,
140102,2876NM,2785NM,2892NM,2846NM,2976NM,3058NM,
140201,2905NM,2852NM,2857NM,2890NM,3039NM,3098NM,
140254,2916NM,2794NM,0000NM,2806NM,2999NM,3086NM,
140531,2905NM,2855NM,2916NM,2829NM,2972NM,3046NM,
140558,2838NM,2785NM,2842NM,2840NM,2934NM,3029NM,
140656,2865NM,2781NM,2895NM,2861NM,2947NM,2991NM,
140723,2852NM,2834NM,2852NM,2810NM,2978NM,3071NM,
140819,2834NM,2823NM,2859NM,2804NM,3081NM,3039NM,
140847,2897NM,2823NM,2863NM,2859NM,3006NM,3037NM,
140938,2916NM,2813NM,2834NM,2871NM,3062NM,3060NM,
141010,2857NM,2850NM,2867NM,2848NM,2958NM,3044NM,
141108,2878NM,2808NM,2873NM,2884NM,2981NM,3063NM,
141138,2890NM,2840NM,2878NM,2787NM,2962NM,3048NM,
141227,2892NM,2789NM,2907NM,2800NM,2958NM,3012NM,
141257,2884NM,2804NM,2916NM,2823NM,2976NM,3067NM,
141350,2873NM,2821NM,2876NM,2874NM,2976NM,3042NM,
141416,2905NM,2813NM,2913NM,2813NM,3014NM,3052NM,
141508,2888NM,2811NM,2848NM,2800NM,2981NM,3083NM,
141535,2865NM,2836NM,2848NM,2787NM,2981NM,3033NM,
142755,2897NM,2815NM,2844NM,2869NM,2957NM,3044NM,
142828,2874NM,2855NM,2829NM,2836NM,2962NM,3023NM,
142933,2890NM,2846NM,2861NM,2857NM,3008NM,3075NM,
143003,2916NM,2787NM,0000NM,2796NM,2937NM,3020NM,
143332,
143502,2907NM,2878NM,2865NM,2853NM,2983NM,3037NM,
143642,2863NM,2783NM,2907NM,2886NM,2991NM,3042NM,
143714,2859NM,2810NM,2853NM,2825NM,2979NM,3090NM,
144101,2939NM,0000NM,2943NM,2825NM,3010NM,3060NM,
145224,2840NM,2846NM,0000NM,2790NM,3027NM,2989NM,
145312,2903NM,2832NM,2838NM,2819NM,2924NM,3056NM,
145348,2892NM,2819NM,2882NM,2825NM,2949NM,3054NM,
152528,2892NM,2821NM,2865NM,2783NM,2968NM,3050NM,
152557,2936NM,2867NM,2827NM,2829NM,3025NM,3037NM,
