時間,軸1,軸2,軸3,軸4,軸5,軸6
153137,2773NM,2687NM,2779NM,2691NM,2771NM,3142NM,
153159,2808NM,2670NM,2785NM,2680NM,2789NM,3153NM,
153920,2773NM,2672NM,2789NM,2703NM,2800NM,3081NM,
154231,2779NM,2685NM,2787NM,2766NM,2840NM,3128NM,
154400,2810NM,2691NM,2783NM,2699NM,2808NM,3081NM,
154427,2794NM,2729NM,2781NM,2693NM,2808NM,3100NM,
154706,2842NM,2689NM,2897NM,2699NM,2810NM,3084NM,
154734,2867NM,2691NM,2790NM,2701NM,2775NM,3100NM,
154841,85 ONM,ONM,ONM,2678NM,2787NM,3100NM,
161021,2775NM,2685NM,2783NM,2684NM,2794NM,3216NM,
161039,2798NM,2705NM,2796NM,2710NM,2787NM,3149NM,
161137,2794NM,2691NM,2783NM,2693NM,2859NM,3125NM,
161248,2808NM,2685NM,2764NM,2680NM,2796NM,3096NM,
161320,2789NM,2676NM,2821NM,2706NM,2823NM,3094NM,
161356,2792NM,2708NM,2800NM,2691NM,2771NM,3142NM,
161444,2852NM,2699NM,2825NM,2745NM,2775NM,3102NM,
161504,2781NM,2706NM,2794NM,2697NM,2838NM,3147NM,
161605,2787NM,2687NM,2768NM,2699NM,2779NM,3153NM,
161636,2794NM,2705NM,2798NM,2703NM,2823NM,3193NM,
161742,2831NM,2703NM,2832NM,2729NM,2802NM,3155NM,
161838,2792NM,2716NM,2790NM,2678NM,2794NM,3084NM,
161937,2775NM,2714NM,2821NM,2697NM,2769NM,3102NM,
162016,2869NM,2697NM,2789NM,2710NM,2798NM,3140NM,
162455,2808NM,2689NM,2829NM,2668NM,2806NM,3168NM,
162530,2815NM,2695NM,2790NM,2710NM,2811NM,3189NM,
162613,2800NM,2697NM,2798NM,2716NM,2827NM,3123NM,
162643,2783NM,2699NM,2773NM,2701NM,2794NM,3140NM,
162721,2806NM,2726NM,2800NM,2691NM,2852NM,3098NM,
163602,2798NM,2693NM,2771NM,2703NM,2853NM,3092NM,
163629,2769NM,2703NM,2777NM,2693NM,2779NM,3155NM,
163713,2787NM,2693NM,2802NM,2699NM,2785NM,3098NM,
163917,2779NM,2668NM,2878NM,2691NM,2810NM,3132NM,
164017,2790NM,2668NM,2785NM,2674NM,2800NM,3111NM,
164055,2811NM,2670NM,2773NM,2691NM,2792NM,3138NM,
164148,2800NM,2705NM,2792NM,2685NM,2783NM,3189NM,
164227,2792NM,2735NM,2815NM,2687NM,2794NM,3102NM,
164317,2779NM,2687NM,2802NM,2695NM,2777NM,3151NM,
164542,2768NM,2714NM,2779NM,2705NM,2781NM,3136NM,
164620,2802NM,2674NM,2790NM,2682NM,2850NM,3136NM,
164715,2800NM,2684NM,2787NM,2710NM,2783NM,3157NM,
164803,2815NM,2687NM,2796NM,2705NM,2781NM,3111NM,
164858,2806NM,2710NM,2794NM,2701NM,2848NM,3136NM,
164924,2800NM,2691NM,2777NM,2676NM,2777NM,3146NM,
165015,2796NM,2695NM,2800NM,2710NM,2779NM,3100NM,
