時間,軸1,軸2,軸3,軸4,軸5,軸6
091059,2790NM,2689NM,2884NM,2691NM,2794NM,3146NM,
091140,2796NM,2680NM,2871NM,2687NM,2787NM,3065NM,
091224,2785NM,2687NM,2876NM,2676NM,2819NM,3126NM,
091304,2771NM,2689NM,2871NM,2672NM,2773NM,3115NM,
091358,2827NM,2685NM,2895NM,2703NM,2773NM,3123NM,
091424,2783NM,2712NM,2895NM,2687NM,2781NM,3168NM,
091524,0000NM,2676NM,2892NM,2716NM,2783NM,3100NM,
091547,2781NM,2731NM,2884NM,2691NM,2781NM,3140NM,
091641,2796NM,2674NM,2890NM,0000NM,2852NM,3147NM,
092347,0000NM,0000NM,0000NM,0000NM,0000NM,0000NM,
092353,2806NM,2685NM,2888NM,2674NM,2787NM,3176NM,
092417,2783NM,2674NM,2876NM,2687NM,2804NM,3138NM,
092511,2779NM,2697NM,2874NM,2706NM,2777NM,3130NM,
093236,2787NM,2697NM,0000NM,2697NM,2777NM,3113NM,
093303,2785NM,2684NM,2897NM,2689NM,2779NM,3136NM,
093329,2789NM,2695NM,2894NM,2689NM,2794NM,3138NM,
093415,2796NM,2691NM,2886NM,2674NM,2777NM,3096NM,
093445,2802NM,2676NM,2876NM,2701NM,2790NM,3111NM,
093530,2785NM,2695NM,2878NM,2691NM,2796NM,3155NM,
093602,2808NM,2697NM,2882NM,2693NM,2783NM,3090NM,
093651,2783NM,2691NM,2905NM,2670NM,2775NM,3119NM,
093725,2789NM,2691NM,2880NM,2670NM,2775NM,0000NM,
094210,0000NM,0000NM,0000NM,0000NM,0000NM,0000NM,
094348,2790NM,2691NM,2874NM,2676NM,2790NM,3119NM,
094422,2811NM,2682NM,2869NM,2703NM,2781NM,3121NM,
094449,2787NM,2693NM,2878NM,2672NM,2785NM,3128NM,
094511,2779NM,2687NM,2873NM,2726NM,2821NM,3090NM,
094552,2775NM,2678NM,2873NM,2710NM,2773NM,3109NM,
094619,2802NM,2706NM,2882NM,2691NM,2790NM,0000NM,
100006,2804NM,0000NM,2869NM,2691NM,2800NM,3123NM,
100028,0000NM,0000NM,0000NM,0000NM,0000NM,3178NM,
100253,2792NM,2699NM,2941NM,2708NM,2794NM,3130NM,
100311,2792NM,2682NM,2913NM,2684NM,2794NM,3125NM,
100425,2775NM,2697NM,2888NM,2693NM,2779NM,3144NM,
100507,2785NM,2682NM,2882NM,2699NM,2834NM,3086NM,
100554,2787NM,2682NM,2878NM,2680NM,2798NM,3083NM,
100633,2775NM,2697NM,2897NM,2691NM,2789NM,3170NM,
100821,2794NM,2691NM,2874NM,2689NM,2792NM,3138NM,
100850,2771NM,2697NM,2905NM,2682NM,2829NM,3100NM,
100946,2775NM,2691NM,2882NM,2708NM,2773NM,3092NM,
101022,2806NM,2680NM,2962NM,2680NM,2781NM,3117NM,
101052,2787NM,2699NM,2924NM,2666NM,2771NM,3105NM,
101407,2790NM,2706NM,2880NM,2693NM,2771NM,3126NM,
101433,2779NM,2680NM,2880NM,2712NM,2798NM,3083NM,
101514,2777NM,2674NM,2888NM,2676NM,2796NM,3069NM,
101545,2768NM,2684NM,2878NM,2693NM,2783NM,3142NM,
101634,2790NM,2708NM,2876NM,2693NM,2785NM,3180NM,
101733,2781NM,2689NM,2876NM,2689NM,2804NM,3165NM,
101845,2781NM,2678NM,2873NM,2689NM,2787NM,3050NM,
101911,2813NM,2733NM,2943NM,2680NM,2848NM,3161NM,
101946,2783NM,2699NM,2892NM,2722NM,2831NM,3069NM,
102010,2775NM,2699NM,2873NM,2685NM,2792NM,3104NM,
102056,2796NM,2697NM,2876NM,2685NM,2802NM,3115NM,
102121,2817NM,2699NM,2874NM,2666NM,2781NM,3100NM,
102302,2787NM,2691NM,2884NM,2672NM,2789NM,3140NM,
102335,2773NM,2687NM,2895NM,2682NM,2777NM,3119NM,
102417,2777NM,2689NM,2911NM,2685NM,2777NM,3083NM,
102445,2792NM,2691NM,2874NM,2716NM,2775NM,3104NM,
102529,2781NM,2685NM,2888NM,2685NM,2787NM,3102NM,
102557,2781NM,2697NM,2899NM,2689NM,2832NM,3073NM,
102631,2779NM,2685NM,2903NM,2695NM,2787NM,3098NM,
102710,2781NM,2710NM,2932NM,2682NM,2771NM,3123NM,
102757,2806NM,2729NM,2882NM,2682NM,2775NM,3092NM,
