時間,軸1,軸2,軸3,軸4,軸5,軸6
092332,2792NM,2682NM,2884NM,2691NM,2792NM,3140NM,
092357,2781NM,2685NM,2878NM,2676NM,2773NM,3180NM,
092440,2787NM,2693NM,2873NM,2689NM,2853NM,3132NM,
092513,2785NM,2684NM,2884NM,2680NM,2790NM,3092NM,
092602,2771NM,2689NM,2905NM,2689NM,2777NM,3102NM,
092627,2792NM,2695NM,2884NM,2682NM,2794NM,3159NM,
092715,2783NM,2691NM,2894NM,2672NM,2779NM,3098NM,
092742,2779NM,2695NM,2892NM,2689NM,2859NM,3176NM,
092831,2787NM,2672NM,2876NM,2685NM,2789NM,3136NM,
092858,2792NM,2682NM,2878NM,2695NM,2760NM,3104NM,
092943,2781NM,2735NM,2916NM,2672NM,2789NM,3088NM,
093011,2800NM,2689NM,2886NM,2697NM,2769NM,3168NM,
093147,2783NM,2689NM,2884NM,2684NM,2800NM,3193NM,
093214,2768NM,2682NM,2876NM,2680NM,2773NM,3159NM,
093259,2794NM,2691NM,2876NM,2674NM,2785NM,3092NM,
093326,2785NM,2689NM,2874NM,2693NM,2779NM,3096NM,
093404,2781NM,2680NM,2888NM,2691NM,2781NM,3168NM,
093704,2777NM,2676NM,2876NM,2670NM,2787NM,3084NM,
094443,2789NM,2689NM,2878NM,2676NM,2777NM,3111NM,
094525,2783NM,2697NM,2897NM,2678NM,2790NM,3144NM,
094630,2789NM,2699NM,2901NM,2668NM,2785NM,3153NM,
094709,2771NM,2693NM,2943NM,2701NM,2859NM,3063NM,
094816,2783NM,2684NM,2873NM,2689NM,2781NM,3132NM,
094857,2846NM,2685NM,2903NM,2680NM,2771NM,3081NM,
095401,2796NM,2685NM,2878NM,2726NM,2859NM,3134NM,
095435,2783NM,2687NM,2874NM,2685NM,2777NM,3102NM,
095541,2773NM,2705NM,2878NM,2689NM,2796NM,3119NM,
095618,2769NM,2691NM,2892NM,2676NM,2789NM,3077NM,
095733,2783NM,2680NM,2913NM,2695NM,2785NM,3138NM,
100003,2769NM,2701NM,2876NM,2693NM,2794NM,3174NM,
100340,2810NM,2672NM,2905NM,2680NM,2766NM,3071NM,
100742,2796NM,2685NM,2869NM,2705NM,2794NM,3092NM,
100807,2789NM,2670NM,2880NM,2729NM,2781NM,3119NM,
100857,2800NM,2699NM,2886NM,2668NM,2775NM,3151NM,
100921,2789NM,2684NM,2886NM,2716NM,2796NM,3144NM,
100957,2794NM,2691NM,2882NM,2701NM,2775NM,3126NM,
101106,2781NM,2695NM,2888NM,2708NM,2802NM,3126NM,
101133,2790NM,2691NM,2878NM,2674NM,2783NM,3130NM,
101224,2783NM,2695NM,2888NM,2695NM,2775NM,3088NM,
