時間,軸1,軸2,軸3,軸4,軸5,軸6
090654,2852NM,2769NM,2873NM,2781NM,3016NM,3012NM,
090718,2882NM,2800NM,2829NM,2811NM,2949NM,3042NM,
091729,2937NM,2798NM,2823NM,2846NM,2966NM,3062NM,
091756,2834NM,2836NM,2842NM,2890NM,3033NM,3039NM,
091858,2907NM,2821NM,2836NM,2825NM,2930NM,3081NM,
091931,2850NM,2802NM,2859NM,2829NM,2987NM,3044NM,
092014,2895NM,2775NM,2895NM,2825NM,2918NM,3029NM,
092041,2863NM,2852NM,2848NM,2834NM,2993NM,3044NM,
092135,2871NM,2806NM,2829NM,2806NM,2979NM,3050NM,
092203,2924NM,2800NM,2895NM,2810NM,3004NM,3000NM,
092301,2842NM,2792NM,2880NM,2827NM,2920NM,3056NM,
092328,2894NM,2775NM,2844NM,2789NM,2947NM,3033NM,
092438,0000NM,2768NM,2865NM,2777NM,2930NM,3069NM,
092500,2865NM,2823NM,2890NM,2775NM,2918NM,3058NM,
092629,2874NM,2819NM,2867NM,2804NM,2928NM,3021NM,
092658,2869NM,2787NM,2834NM,2827NM,2970NM,3063NM,
092758,2907NM,2813NM,2913NM,2884NM,2981NM,3021NM,
092842,2853NM,0000NM,2907NM,2815NM,2924NM,3052NM,
092937,2895NM,2865NM,2878NM,2882NM,3012NM,3046NM,
093005,2886NM,2882NM,2844NM,2846NM,2999NM,2989NM,
093103,2922NM,2823NM,2930NM,2842NM,2934NM,3054NM,
093134,2903NM,2785NM,2882NM,2823NM,2968NM,3029NM,
093240,2848NM,2821NM,2894NM,2800NM,2955NM,3037NM,
093331,2901NM,2802NM,2853NM,2798NM,2966NM,3075NM,
093416,2865NM,2792NM,2857NM,2874NM,3025NM,3025NM,
093450,2892NM,2798NM,2798NM,2861NM,3016NM,3029NM,
095157,2857NM,2867NM,2840NM,2804NM,3002NM,3031NM,
095227,2842NM,2869NM,2888NM,2897NM,3016NM,2983NM,
095318,2937NM,2794NM,2857NM,2871NM,3018NM,3014NM,
095356,2915NM,2842NM,2886NM,2871NM,2913NM,3063NM,
095441,2840NM,2789NM,2895NM,2817NM,2983NM,3060NM,
095542,2901NM,2792NM,2915NM,2821NM,2974NM,3046NM,
095618,2834NM,2787NM,2865NM,2853NM,3018NM,3063NM,
095706,2873NM,2819NM,2886NM,2852NM,2958NM,3037NM,
095743,2916NM,2813NM,2836NM,2857NM,2928NM,2972NM,
