時間,軸1,軸2,軸3,軸4,軸5,軸6
094540,2697NM,2720NM,2682NM,2684NM,2678NM,0000NM,
095113,2701NM,2695NM,2722NM,2680NM,2689NM,2687NM,
095331,2718NM,2687NM,2729NM,2693NM,2680NM,2682NM,
095715,2691NM,2693NM,2685NM,2701NM,2684NM,2678NM,
095957,2684NM,2699NM,2687NM,2670NM,2737NM,2680NM,
100311,2684NM,2714NM,2739NM,2720NM,2691NM,2685NM,
100554,2699NM,2773NM,2714NM,2687NM,2745NM,2685NM,
100759,2684NM,2722NM,2701NM,2792NM,2720NM,2697NM,
102003,2727NM,2693NM,2752NM,2741NM,2687NM,2722NM,
102615,2705NM,2726NM,2701NM,2684NM,2714NM,2701NM,
120019,2716NM,2699NM,2724NM,2676NM,2703NM,2703NM,
120201,2722NM,2708NM,2701NM,2735NM,2764NM,2685NM,
120251,2691NM,2714NM,2739NM,2752NM,2687NM,2689NM,
132937,2727NM,2727NM,2687NM,2785NM,2697NM,2718NM,
133636,2766NM,2748NM,2724NM,2735NM,2685NM,2701NM,
133851,2684NM,2682NM,2712NM,2685NM,2724NM,2680NM,
134401,2743NM,2687NM,2727NM,2806NM,2676NM,2714NM,
134701,2731NM,2695NM,2687NM,2710NM,2674NM,2787NM,
135505,2724NM,2716NM,2706NM,2684NM,2685NM,2703NM,
140216,2718NM,2710NM,2685NM,2754NM,2764NM,2697NM,
140446,2691NM,2695NM,2710NM,2672NM,2687NM,2703NM,
154429,2714NM,2720NM,2718NM,2741NM,2697NM,2685NM,
155300,2701NM,2695NM,2691NM,2703NM,2699NM,2678NM,
155545,0000NM,0000NM,0000NM,0000NM,0000NM,0000NM,
155933,2724NM,2705NM,2708NM,2693NM,2680NM,2697NM,
160203,2697NM,2718NM,2687NM,2691NM,2735NM,2705NM,
160425,2705NM,2670NM,2691NM,2699NM,2764NM,2712NM,
161139,2724NM,2701NM,2710NM,2684NM,2762NM,2680NM,
161529,2689NM,2687NM,2699NM,2691NM,2779NM,2708NM,
161729,2750NM,2706NM,2684NM,2668NM,2685NM,2697NM,
162427,2685NM,2676NM,2697NM,2697NM,2684NM,2693NM,
162604,2743NM,2735NM,2747NM,2695NM,2752NM,2682NM,
162759,2747NM,2682NM,2682NM,2691NM,2726NM,2687NM,
162929,2684NM,2695NM,2678NM,2682NM,2674NM,2695NM,
163140,2697NM,2691NM,2672NM,2695NM,2684NM,2701NM,
163501,2691NM,2718NM,2689NM,2699NM,2748NM,2687NM,
163736,2691NM,2682NM,2720NM,2680NM,2684NM,2682NM,
164745,2701NM,2666NM,2689NM,2672NM,2706NM,2699NM,
165112,2695NM,2699NM,2687NM,2680NM,2695NM,2703NM,
170229,2758NM,2691NM,2693NM,2695NM,2687NM,2695NM,
170513,2697NM,2701NM,2680NM,2773NM,2693NM,2693NM,
171212,2680NM,2699NM,2687NM,2687NM,2672NM,2685NM,
171342,2703NM,2672NM,2684NM,2687NM,2716NM,2684NM,
