時間,軸1,軸2,軸3,軸4,軸5,軸6
090900,0000NM,0000NM,0000NM,0000NM,0000NM,0000NM,
090916,2842NM,2697NM,2800NM,2689NM,2777NM,3100NM,
091250,2785NM,2697NM,2792NM,2682NM,2775NM,3075NM,
092045,2785NM,2701NM,2867NM,2691NM,2781NM,3199NM,
092115,2811NM,2687NM,2773NM,2745NM,2768NM,3067NM,
092209,2771NM,2712NM,2819NM,2748NM,2758NM,3121NM,
092243,2794NM,2737NM,2771NM,2695NM,2783NM,3084NM,
092331,2775NM,2727NM,2869NM,2726NM,2789NM,3155NM,
093027,2802NM,2701NM,2802NM,2724NM,2790NM,3176NM,
093123,2825NM,2727NM,2798NM,2691NM,2789NM,3104NM,
093149,2806NM,2706NM,2771NM,2716NM,2821NM,3115NM,
093249,2817NM,2672NM,2779NM,2697NM,2831NM,3079NM,
093319,2806NM,2684NM,2850NM,2659NM,2790NM,3119NM,
093414,2777NM,2701NM,2838NM,2701NM,2792NM,3111NM,
093442,2832NM,2706NM,2808NM,2731NM,2811NM,3132NM,
093531,2848NM,2666NM,2819NM,2705NM,2796NM,3128NM,
093601,2821NM,2712NM,2834NM,2697NM,2817NM,3155NM,
093652,2802NM,2672NM,2806NM,2703NM,2810NM,3081NM,
093751,2790NM,2703NM,2783NM,2712NM,2769NM,3075NM,
093830,2777NM,2747NM,2798NM,2685NM,2783NM,3107NM,
094003,2867NM,2714NM,2794NM,2684NM,2781NM,3119NM,
094033,2785NM,2739NM,2850NM,2735NM,2775NM,3130NM,
094322,2880NM,2689NM,2790NM,2703NM,2796NM,3100NM,
094348,2832NM,2672NM,2773NM,2735NM,2796NM,3098NM,
094444,2810NM,2695NM,2796NM,2706NM,2769NM,3125NM,
094513,2785NM,2678NM,2779NM,2697NM,2840NM,3063NM,
094610,2836NM,2724NM,2775NM,2693NM,2781NM,3167NM,
094642,2808NM,2678NM,2823NM,2676NM,2779NM,3243NM,
095912,
095925,2800NM,2685NM,2832NM,2699NM,2796NM,3073NM,
100024,2768NM,2678NM,0000NM,2693NM,2844NM,3128NM,
100624,2697NM,0000NM,2691NM,2813NM,3096NM,
100637,2769NM,2670NM,2810NM,2701NM,2779NM,3136NM,
100902,2850NM,2687NM,2819NM,2714NM,2781NM,3191NM,
100929,2794NM,2680NM,2800NM,2726NM,2815NM,3172NM,
101014,2773NM,2685NM,2768NM,2674NM,2781NM,3077NM,
101224,2787NM,2699NM,2775NM,2701NM,2792NM,3144NM,
101252,2850NM,2687NM,2779NM,2708NM,2873NM,3191NM,
101535,2789NM,2693NM,2783NM,2691NM,2785NM,3100NM,
101603,2789NM,2691NM,2783NM,2687NM,2769NM,3105NM,
101649,2850NM,2705NM,2800NM,2680NM,2840NM,3113NM,
101719,2790NM,2705NM,2789NM,2684NM,2844NM,3134NM,
101813,2806NM,2714NM,2792NM,2745NM,2792NM,3134NM,
101840,2804NM,2697NM,2831NM,2745NM,2783NM,3125NM,
101930,2794NM,2748NM,2815NM,2703NM,2781NM,3123NM,
101956,2789NM,2708NM,2853NM,2691NM,2771NM,3090NM,
102047,2829NM,2678NM,2802NM,2712NM,2775NM,3100NM,
102138,2819NM,2672NM,2779NM,2703NM,2871NM,3138NM,
102249,2827NM,2676NM,2823NM,2737NM,2815NM,3136NM,
102536,2829NM,2703NM,2817NM,2693NM,2773NM,3077NM,
102703,2798NM,2685NM,2773NM,2691NM,2794NM,3090NM,
102739,2787NM,2685NM,2790NM,2701NM,2790NM,3090NM,
102840,2827NM,2676NM,2769NM,2705NM,2792NM,3142NM,
102912,2817NM,2674NM,2836NM,2668NM,2861NM,3104NM,
102942,2781NM,2672NM,2808NM,2676NM,2777NM,3079NM,
103027,2783NM,2722NM,2800NM,2685NM,2834NM,3092NM,
103111,2787NM,2682NM,2798NM,2703NM,2796NM,0000NM,
