時間,軸1,軸2,軸3,軸4,軸5,軸6
090356,0000NM,0000NM,0000NM,0000NM,0000NM,0000NM,
090611,2804NM,2672NM,2769NM,2695NM,2777NM,3184NM,
091300,2792NM,2685NM,2815NM,2676NM,2773NM,3123NM,
091528,2832NM,2691NM,2783NM,2705NM,2794NM,3063NM,
091613,2789NM,2747NM,2829NM,2689NM,2777NM,3134NM,
091728,2798NM,2706NM,2787NM,2714NM,2808NM,3188NM,
091818,2842NM,2747NM,2783NM,2676NM,2773NM,3157NM,
093843,2779NM,2680NM,2796NM,2680NM,2773NM,3144NM,
093924,2802NM,2762NM,2800NM,2642NM,2823NM,3140NM,
094057,2815NM,2735NM,2775NM,2682NM,2775NM,3065NM,
094144,2789NM,2706NM,2792NM,2689NM,2840NM,3107NM,
094333,2861NM,2678NM,2802NM,2741NM,2787NM,3081NM,
094451,2775NM,2689NM,2790NM,2678NM,2800NM,3147NM,
094617,2798NM,2689NM,2800NM,2684NM,2783NM,3157NM,
094646,2779NM,2705NM,2779NM,2766NM,2861NM,3180NM,
094748,2800NM,2695NM,2863NM,2691NM,2819NM,3155NM,
094817,2790NM,2705NM,2840NM,2674NM,2861NM,3109NM,
094915,2808NM,2684NM,2785NM,2687NM,2785NM,3063NM,
094951,2794NM,2670NM,2792NM,2735NM,2823NM,3069NM,
095107,2781NM,2701NM,2796NM,2727NM,2815NM,3102NM,
095136,2783NM,2708NM,2777NM,2781NM,2811NM,3111NM,
095252,2790NM,2670NM,2800NM,2752NM,2886NM,3138NM,
095325,2874NM,2714NM,2790NM,2729NM,2819NM,3174NM,
095433,2789NM,2699NM,2861NM,2710NM,2781NM,3149NM,
095506,2819NM,2680NM,2769NM,2691NM,2775NM,3121NM,
095622,2768NM,2703NM,2840NM,2687NM,2790NM,3151NM,
095717,2794NM,2697NM,2769NM,2687NM,2783NM,3142NM,
095908,2804NM,2672NM,2811NM,2750NM,2806NM,3075NM,
095946,0000NM,2687NM,2804NM,2682NM,2796NM,3098NM,
100038,2787NM,2703NM,2859NM,2697NM,2810NM,3081NM,
100803,2796NM,2693NM,2787NM,2703NM,2789NM,3102NM,
100855,2798NM,2674NM,2796NM,2735NM,2773NM,3144NM,
100922,2832NM,2674NM,2798NM,2693NM,2789NM,3165NM,
101014,2848NM,2712NM,2787NM,2697NM,2798NM,3161NM,
101041,2781NM,2682NM,2769NM,2724NM,2874NM,3132NM,
101229,2783NM,2693NM,2831NM,2705NM,2832NM,3128NM,
101759,2789NM,2699NM,2834NM,2697NM,2792NM,3161NM,
101825,2779NM,2685NM,2823NM,2703NM,2777NM,3134NM,
101916,2792NM,2678NM,2806NM,2672NM,2838NM,3081NM,
101943,2781NM,2722NM,2779NM,2680NM,2821NM,3100NM,
102017,2790NM,2687NM,2832NM,2682NM,2768NM,3050NM,
102053,2783NM,2685NM,2794NM,2703NM,2810NM,3159NM,
102119,2796NM,2689NM,2783NM,2685NM,2771NM,3134NM,
102141,2859NM,2693NM,2840NM,2706NM,2783NM,3138NM,
102210,2785NM,2687NM,2798NM,2705NM,2771NM,3088NM,
102256,2817NM,2687NM,2825NM,2703NM,2840NM,3077NM,
102335,2813NM,2678NM,2789NM,2701NM,2817NM,3184NM,
102409,2779NM,2741NM,2768NM,2689NM,2794NM,3144NM,
102438,2787NM,2739NM,2775NM,2699NM,2777NM,3083NM,
102524,2783NM,2731NM,2781NM,2695NM,2781NM,3069NM,
102556,2781NM,2684NM,2792NM,2697NM,2842NM,3128NM,
102639,2796NM,2668NM,2806NM,2678NM,2771NM,3113NM,
102707,2790NM,2680NM,2794NM,2682NM,2790NM,3113NM,
102805,2798NM,2706NM,2819NM,2678NM,2800NM,3098NM,
102833,2771NM,2689NM,2783NM,2684NM,2804NM,3086NM,
102908,0000NM,2693NM,2783NM,2706NM,2787NM,3067NM,
102935,2802NM,2691NM,2789NM,2731NM,2771NM,3094NM,
103004,2796NM,2703NM,2832NM,2706NM,2777NM,3113NM,
103043,2813NM,2685NM,2792NM,2705NM,2798NM,3115NM,
103113,2838NM,2693NM,2831NM,2705NM,2787NM,3096NM,
105028,2789NM,2701NM,2785NM,2710NM,2798NM,3088NM,
105100,2853NM,2703NM,2773NM,2708NM,2853NM,3117NM,
105147,2781NM,2693NM,2808NM,2697NM,2842NM,3188NM,
105212,2781NM,2697NM,2808NM,2689NM,2863NM,3107NM,
105308,2792NM,2720NM,2852NM,2682NM,2792NM,3157NM,
105335,2798NM,2699NM,2838NM,2691NM,2794NM,3153NM,
105423,2785NM,2670NM,2802NM,2703NM,2777NM,3147NM,
105450,2777NM,2672NM,2800NM,2676NM,2808NM,3153NM,
105540,2777NM,2697NM,2792NM,2685NM,2777NM,3121NM,
105606,2785NM,2687NM,2892NM,2647NM,2792NM,3146NM,
105700,2794NM,2693NM,2806NM,2693NM,2798NM,3084NM,
105728,2815NM,2708NM,2790NM,2695NM,2777NM,3151NM,
105757,2871NM,2684NM,2789NM,2706NM,2802NM,3130NM,
105845,2798NM,2682NM,2794NM,2750NM,2790NM,3149NM,
105912,2842NM,2733NM,2785NM,2697NM,2785NM,3088NM,
110003,2771NM,2710NM,2792NM,2685NM,2792NM,3067NM,
110032,2825NM,2689NM,2819NM,2724NM,2798NM,3096NM,
110117,2792NM,2689NM,2783NM,2697NM,2798NM,3130NM,
110146,2790NM,2693NM,2787NM,2678NM,2829NM,3107NM,
110813,2846NM,2674NM,2790NM,2701NM,2800NM,3107NM,
110839,2769NM,2685NM,2783NM,2674NM,2785NM,3147NM,
110922,2775NM,2687NM,2785NM,2684NM,2781NM,3138NM,
110951,2779NM,2724NM,2821NM,2699NM,2768NM,3094NM,
111038,2790NM,2703NM,2781NM,2695NM,2787NM,3088NM,
111116,2783NM,2678NM,2804NM,2712NM,2859NM,3119NM,
111200,2802NM,2741NM,2821NM,2701NM,2781NM,3107NM,
111228,2792NM,2689NM,2787NM,2716NM,2817NM,3077NM,
111302,2796NM,2670NM,2813NM,2747NM,2852NM,3100NM,
111551,2773NM,2691NM,2775NM,2693NM,2840NM,3063NM,
111635,2790NM,2684NM,2792NM,2701NM,2764NM,3105NM,
111703,2798NM,2727NM,2773NM,2680NM,2798NM,3092NM,
111756,2792NM,2691NM,2787NM,2708NM,2794NM,3155NM,
111826,2804NM,2724NM,2758NM,2697NM,2790NM,3115NM,
111914,2768NM,2727NM,2777NM,2678NM,2758NM,3084NM,
112110,2804NM,2676NM,2792NM,2695NM,2874NM,3094NM,
112139,2798NM,2682NM,2800NM,2701NM,2779NM,3071NM,
112223,2771NM,2691NM,2779NM,2710NM,2768NM,3105NM,
112251,2792NM,2699NM,2798NM,2682NM,2850NM,3140NM,
112348,2815NM,2703NM,2760NM,2699NM,2802NM,3073NM,
112426,2825NM,2705NM,0000NM,2672NM,2796NM,3228NM,
112545,2798NM,2685NM,2802NM,2703NM,2823NM,3098NM,
112917,2789NM,2703NM,2787NM,2699NM,2855NM,3102NM,
112944,2853NM,2672NM,2810NM,2695NM,2794NM,3163NM,
114156,2783NM,0000NM,2813NM,2706NM,2874NM,3161NM,
114233,2783NM,2699NM,2789NM,2682NM,2771NM,3098NM,
114541,2768NM,2712NM,2836NM,2701NM,2796NM,3121NM,
114622,2781NM,2697NM,2806NM,2727NM,2800NM,3117NM,
114708,2785NM,2691NM,2790NM,2727NM,2899NM,3107NM,
114738,2771NM,2689NM,2802NM,2705NM,2804NM,3071NM,
114823,2823NM,2693NM,2792NM,2687NM,2823NM,3146NM,
114854,2796NM,2684NM,2789NM,2682NM,2792NM,3174NM,
114946,2789NM,2684NM,2798NM,2676NM,2789NM,3104NM,
115013,2794NM,2701NM,2781NM,2726NM,2768NM,3117NM,
115112,2775NM,2710NM,2857NM,2689NM,2792NM,3107NM,
115140,2779NM,2731NM,2768NM,2706NM,2800NM,3123NM,
115218,2817NM,2712NM,2794NM,2676NM,2787NM,3092NM,
115315,2796NM,2699NM,2840NM,2672NM,2785NM,3151NM,
115421,2831NM,2705NM,2874NM,2758NM,2769NM,3107NM,
115458,2775NM,2691NM,2819NM,2697NM,2884NM,3088NM,
115521,2819NM,2697NM,2794NM,2676NM,2865NM,3077NM,
115602,2873NM,2703NM,2794NM,2685NM,2802NM,3104NM,
115647,2811NM,2676NM,2769NM,2706NM,2781NM,3088NM,
115714,2831NM,2676NM,2817NM,2722NM,2783NM,3117NM,
115751,2802NM,2691NM,2800NM,2714NM,2790NM,3159NM,
115815,2781NM,2722NM,2771NM,2670NM,2781NM,3077NM,
115903,2827NM,2705NM,2792NM,2687NM,2817NM,3084NM,
115926,2821NM,2674NM,2783NM,2685NM,2781NM,3163NM,
120006,2783NM,2691NM,2779NM,2680NM,2783NM,3081NM,
121043,2813NM,2762NM,2817NM,2705NM,2798NM,3104NM,
121110,2779NM,2705NM,2785NM,2739NM,2804NM,3140NM,
121157,2802NM,2674NM,2798NM,2682NM,2821NM,3086NM,
121226,2800NM,2754NM,2781NM,2674NM,2779NM,3081NM,
121315,2792NM,2729NM,2790NM,2682NM,2769NM,3136NM,
121344,2777NM,2691NM,2790NM,2714NM,2779NM,3083NM,
121440,2796NM,2710NM,2800NM,2680NM,2802NM,3138NM,
121507,2779NM,2693NM,2785NM,2693NM,2787NM,3069NM,
121558,2777NM,2680NM,2779NM,2689NM,2861NM,3128NM,
121630,2783NM,2689NM,2779NM,2766NM,2823NM,3086NM,
121728,2792NM,2695NM,2789NM,2760NM,2790NM,3180NM,
121818,2842NM,2775NM,2789NM,2693NM,2777NM,3117NM,
121918,2850NM,2695NM,2800NM,2743NM,2790NM,3115NM,
121952,2802NM,2670NM,2867NM,2708NM,2806NM,3090NM,
122052,2815NM,2718NM,2796NM,2773NM,2846NM,3144NM,
122125,2796NM,2718NM,2771NM,2718NM,2800NM,3144NM,
130944,2857NM,2699NM,2777NM,2697NM,2777NM,3134NM,
131106,2800NM,2670NM,2785NM,2703NM,2781NM,3086NM,
131148,0000NM,2697NM,2773NM,2685NM,2775NM,3077NM,
131258,2789NM,2758NM,2832NM,2703NM,2781NM,3083NM,
131326,2815NM,2676NM,2773NM,2697NM,2781NM,3130NM,
131412,2796NM,2703NM,2785NM,2672NM,2804NM,3115NM,
131442,2810NM,2684NM,2792NM,2680NM,2878NM,3134NM,
131529,2855NM,2701NM,2766NM,2705NM,2804NM,3102NM,
131632,2821NM,2689NM,2846NM,2701NM,2789NM,3161NM,
131724,2785NM,2752NM,2787NM,2714NM,2789NM,3079NM,
131753,2790NM,2703NM,2794NM,2668NM,2794NM,3086NM,
131829,2779NM,2672NM,2853NM,2689NM,2863NM,3121NM,
131936,2802NM,2733NM,2823NM,2731NM,2886NM,3149NM,
132010,2775NM,2693NM,2777NM,2685NM,2773NM,3170NM,
132115,2800NM,2693NM,2781NM,2689NM,2771NM,3149NM,
132142,2813NM,2756NM,2823NM,2668NM,2842NM,3067NM,
132234,2794NM,2653NM,2836NM,2691NM,2777NM,3186NM,
132302,2781NM,2731NM,2792NM,2712NM,2783NM,3111NM,
132438,2775NM,2691NM,2806NM,2687NM,2798NM,3147NM,
132506,2794NM,2701NM,2775NM,2720NM,2783NM,3083NM,
132816,2857NM,2741NM,2783NM,2684NM,2775NM,3088NM,
132844,2781NM,2703NM,2775NM,2718NM,2817NM,3073NM,
132942,2819NM,2764NM,2787NM,2708NM,2783NM,3102NM,
133009,2789NM,2697NM,2844NM,2701NM,2829NM,3104NM,
133054,2811NM,2682NM,2779NM,2716NM,2796NM,3096NM,
133946,2781NM,2710NM,2800NM,2695NM,2785NM,3071NM,
134010,2768NM,2735NM,2787NM,2706NM,2779NM,3071NM,
134101,2785NM,2701NM,2771NM,2735NM,2825NM,3226NM,
134131,2810NM,2752NM,2821NM,2689NM,2873NM,3084NM,
134253,2781NM,2703NM,2802NM,2701NM,2790NM,3065NM,
134318,2796NM,2670NM,2838NM,2680NM,2831NM,3128NM,
134408,2821NM,2687NM,2775NM,2699NM,2802NM,3161NM,
134438,2842NM,2687NM,2800NM,2676NM,2779NM,3088NM,
134535,2802NM,2699NM,2781NM,2691NM,2766NM,3088NM,
134628,2789NM,2699NM,2792NM,2695NM,2781NM,3128NM,
134724,2771NM,2687NM,2785NM,2685NM,2787NM,3157NM,
134753,2792NM,2687NM,2808NM,2684NM,2771NM,3153NM,
134844,2773NM,2689NM,2766NM,2699NM,2789NM,3063NM,
134911,2775NM,2691NM,2771NM,2714NM,2785NM,3113NM,
135650,2804NM,2718NM,2861NM,2706NM,2850NM,3092NM,
135717,2779NM,2680NM,2785NM,2693NM,2846NM,3119NM,
135810,2800NM,2695NM,2806NM,2701NM,2802NM,3096NM,
135838,2804NM,2695NM,2792NM,2680NM,2785NM,3117NM,
135927,2811NM,2705NM,2779NM,2705NM,2823NM,3079NM,
135955,2787NM,2703NM,2792NM,2714NM,2819NM,3067NM,
140134,2813NM,2684NM,2789NM,2699NM,2785NM,3092NM,
140208,2789NM,2697NM,2798NM,2687NM,2871NM,3086NM,
140444,2775NM,2678NM,2773NM,2703NM,2806NM,3109NM,
140511,2789NM,2672NM,2789NM,2685NM,2781NM,3086NM,
140605,2834NM,2684NM,2831NM,2705NM,2792NM,3100NM,
140633,2769NM,2678NM,2819NM,2676NM,2787NM,3100NM,
140754,0000NM,2676NM,2779NM,2735NM,2769NM,3102NM,
140841,0000NM,2701NM,2790NM,2699NM,2800NM,3084NM,
140916,2769NM,2691NM,2842NM,2685NM,2785NM,3086NM,
141032,2790NM,2682NM,2876NM,2705NM,2821NM,3079NM,
141107,2819NM,2695NM,2852NM,2731NM,2781NM,3071NM,
141208,2800NM,2703NM,2796NM,2687NM,2783NM,3092NM,
141237,2789NM,2676NM,2804NM,2699NM,2829NM,3111NM,
141331,2783NM,2689NM,2817NM,2689NM,2792NM,3167NM,
141401,2777NM,2693NM,2787NM,2726NM,2787NM,3102NM,
141529,2769NM,2680NM,2777NM,2699NM,2790NM,3159NM,
141606,2804NM,2705NM,2773NM,2697NM,2871NM,3197NM,
141636,2787NM,2670NM,2785NM,2695NM,2804NM,3134NM,
141743,2771NM,2726NM,2787NM,2670NM,2804NM,3144NM,
143356,2817NM,2699NM,2874NM,2703NM,2869NM,3119NM,
143437,2775NM,2718NM,2792NM,2685NM,2785NM,3086NM,
143528,2779NM,2693NM,2798NM,2691NM,2804NM,3115NM,
143615,2796NM,2687NM,2783NM,2699NM,2781NM,3142NM,
143649,2817NM,2722NM,2853NM,2716NM,2773NM,3199NM,
143723,2796NM,2676NM,2785NM,2682NM,2787NM,3117NM,
143805,2775NM,2743NM,2823NM,2687NM,2806NM,3144NM,
143838,2775NM,2678NM,2792NM,2701NM,2840NM,3212NM,
143942,2768NM,2682NM,2800NM,2703NM,2787NM,3090NM,
144019,2844NM,2684NM,2777NM,2682NM,2771NM,3083NM,
144056,2806NM,2741NM,2777NM,2703NM,2789NM,3130NM,
144131,2823NM,2762NM,2810NM,2695NM,2810NM,3121NM,
144217,2802NM,2703NM,2798NM,2674NM,2798NM,3073NM,
144302,2842NM,2712NM,2792NM,2705NM,2777NM,3155NM,
144343,2773NM,2693NM,2777NM,2699NM,2823NM,3092NM,
145218,2808NM,2705NM,2867NM,2687NM,2848NM,3119NM,
145246,2817NM,2689NM,2781NM,2705NM,2834NM,3157NM,
145338,2796NM,2672NM,2783NM,2684NM,2750NM,3121NM,
145409,2769NM,2705NM,2836NM,2666NM,2836NM,3067NM,
145534,2777NM,2758NM,2852NM,2693NM,2848NM,3159NM,
145603,2794NM,2699NM,2775NM,2674NM,2787NM,3132NM,
145722,2785NM,2695NM,2775NM,2706NM,2842NM,3104NM,
152043,2798NM,2691NM,2777NM,2724NM,2787NM,3123NM,
152130,2848NM,2685NM,2842NM,2705NM,2850NM,3144NM,
152410,2794NM,2695NM,2787NM,2703NM,2775NM,3123NM,
152438,2852NM,2714NM,2848NM,2691NM,2769NM,3176NM,
152550,2796NM,2701NM,2825NM,2670NM,2794NM,3119NM,
152623,2796NM,2684NM,2861NM,2666NM,2865NM,3161NM,
152731,2800NM,2699NM,2855NM,2701NM,2769NM,3188NM,
152800,2804NM,2672NM,2773NM,2703NM,2804NM,3100NM,
152843,2802NM,2768NM,2815NM,2678NM,2811NM,0000NM,
152948,2800NM,2685NM,2777NM,2706NM,2792NM,3157NM,
153033,2825NM,2697NM,2811NM,2703NM,2792NM,3149NM,
153127,2874NM,2724NM,2859NM,2724NM,2783NM,3062NM,
153206,2769NM,2687NM,2777NM,2733NM,2792NM,3094NM,
153253,2800NM,2691NM,2821NM,2741NM,2873NM,3086NM,
153319,2850NM,2682NM,2790NM,2676NM,2773NM,3105NM,
153928,2804NM,2678NM,2789NM,2689NM,2777NM,3083NM,
154003,2777NM,2697NM,2836NM,2691NM,2842NM,3153NM,
