時間,軸1,軸2,軸3,軸4,軸5,軸6
090243,0000NM,0000NM,0000NM,0000NM,0000NM,0000NM,
090434,ONM,ONM,ONM,ONM,ONM,ONM,
090503,ONM,ONM,ONM,ONM,ONM,02808NM,
090531,2899NM,2897NM,2999NM,3044NM,ONM,ONM,
090623,ONM,ONM,ONM,ONM,ONM,ONM,
090653,ONM,ONM,ONM,ONM,ONM,ONM,
090719,ONM,ONM,02829NM,2903NM,2817NM,2983NM,
092731,3052NM,ONM,ONM,ONM,ONM,oNM,
092843,ONM,ONM,ONM,02779NM,2895NM,2832NM,
093027,2928NM,3027NM,ONM,ONM,ONM,ONM,
093053,ONM,ONM,ONM,ONM,ONM,ONM,
093129,ONM,ONM,ONM,02884NM,2968NM,2846NM,
093152,2968NM,3031NM,ONM,ONM,ONM,2NM,
093226,ONM,ONM,ONM,ONM,ONM,ONM,
093257,02771NM,2903NM,2894NM,2922NM,3035NM,ONM,
093326,ONM,ONM,ONM,ONM,ONM,ONM,
093357,ONM,ONM,ONM,ONM,ONM,ONM,
093447,ONM,02827NM,2899NM,2886NM,2976NM,3048NM,
093502,ONM,ONM,ONM,ONM,2NM,ONM,
093531,ONM,ONM,ONM,ONM,ONM,ONM,
093608,ONM,ONM,02834NM,2937NM,2802NM,2974NM,
093632,3029NM,ONM,ONM,ONM,ONM,ONM,
093702,02792NM,2960NM,2813NM,2960NM,2993NM,ONM,
093831,ONM,ONM,ONM,ONM,ONM,ONM,
093924,ONM,ONM,02831NM,2878NM,2878NM,2932NM,
100808,3014NM,ONM,ONM,ONM,ONM,ONM,
100822,ONM,ONM,ONM,ONM,ONM,ONM,
101023,ONM,ONM,ONM,02806NM,2951NM,2838NM,
101054,2945NM,3035NM,ONM,ONM,ONM,ONM,
101135,ONM,ONM,1NM,ONM,06T?2???j
RH?02D02855NM,2943NM,
101202,2840NM,2913NM,3037NM,ONM,ONM,ONM,
101259,ONM,ONM,ONM,ONM,ONM,ONM,
101324,ONM,02813NM,2899NM,2823NM,3018NM,3109NM,
101356,ONM,ONM,ONM,ONM,ONM,ONM,
101422,ONM,ONM,ONM,ONM,ONM,ONM,
101504,ONM,02838NM,2958NM,2865NM,3041NM,3054NM,
101527,NNM,ONM,ONM,ONM,ONM,ONM,
101557,ONM,ONM,ONM,ONM,ONM,02808NM,
101628,0000NM,2817NM,2930NM,3012NM,ONM,ONM,
102736,ONM,ONM,ONM,ONM,ONM,ONM,
102809,ONM,ONM,02873NM,2999NM,2810NM,2981NM,
103148,3048NM,ONM,?'LN?j
RH? 02834 ONM,ONM,ONM,ONM,
105136,ONM,ONM,ONM,02819NM,2958NM,2834NM,
105212,2958NM,3002NM,NNM,NNM,ONM,ONM,
110305,ONM,ONM,ONM,ONM,ONM,ONM,
110322,ONM,ONM,02789NM,0000NM,2781NM,3006NM,
110411,3023NM,ONM,ONM,ONM,ONM,ONM,
110441,ONM,ONM,ONM,ONM,ONM,02838NM,
110516,2932NM,2863NM,3002NM,3039NM,ONM,ONM,
110552,ONM,2NM,ONM,ONM,ONM,ONM,
110728,ONM,ONM,ONM,ONM,ONM,02850NM,
110755,2930NM,2789NM,3016NM,3012NM,ONM,ONM,
110855,ONM,ONM,ONM,ONM,ONM,ONM,
111619,ONM,ONM,ONM,02810NM,2962NM,2850NM,
111629,2966NM,3012NM,ONM,ONM,ONM,ONM,
112342,ONM,ONM,ONM,ONM,ONM,ONM,
