時間,軸1,軸2,軸3,軸4,軸5,軸6
141059,0000NM,0000NM,0000NM,0000NM,0000NM,0000NM,
153331,2861NM,2781NM,2871NM,2884NM,3039NM,3071NM,
153407,2892NM,2806NM,2840NM,2804NM,2970NM,3052NM,
153459,2859NM,2836NM,2876NM,2853NM,2960NM,3052NM,
153527,2903NM,2798NM,2892NM,2844NM,2949NM,3060NM,
153640,2918NM,2867NM,2855NM,2823NM,3014NM,3037NM,
153712,2918NM,2859NM,2842NM,2815NM,2966NM,2976NM,
153924,2886NM,2825NM,2836NM,2832NM,2922NM,3056NM,
154011,2943NM,2790NM,2890NM,2846NM,2974NM,3054NM,
154040,2955NM,2836NM,2852NM,2785NM,2934NM,3048NM,
154916,2873NM,2842NM,2857NM,2825NM,2957NM,3044NM,
155142,2884NM,2810NM,2846NM,2815NM,2972NM,3031NM,
155211,2886NM,2848NM,2827NM,2821NM,2958NM,3050NM,
155657,2895NM,2842NM,2869NM,2792NM,3016NM,2983NM,
155801,2859NM,2853NM,2880NM,2783NM,2926NM,3016NM,
155951,2863NM,2806NM,2922NM,2808NM,2932NM,3115NM,
160047,2888NM,2888NM,2905NM,2790NM,2918NM,2999NM,
160343,2884NM,2781NM,2827NM,2823NM,2960NM,3065NM,
160413,2869NM,2811NM,2884NM,2878NM,2991NM,3081NM,
160827,2897NM,2855NM,2842NM,2838NM,3000NM,3060NM,
160905,2890NM,2846NM,2865NM,2855NM,2979NM,2991NM,
161039,2894NM,2861NM,2861NM,2853NM,3016NM,3069NM,
161900,2884NM,2836NM,2842NM,2867NM,2962NM,3063NM,
161945,2857NM,2842NM,2903NM,2781NM,2987NM,3006NM,
162041,2848NM,2823NM,2874NM,2863NM,3018NM,3012NM,
162117,2899NM,2800NM,2861NM,2838NM,2949NM,3004NM,
162157,2874NM,2806NM,2911NM,2800NM,2981NM,3035NM,
162443,2863NM,2790NM,2886NM,2825NM,3018NM,2997NM,
162553,2863NM,2840NM,2880NM,2802NM,2957NM,3079NM,
163147,2894NM,2798NM,2909NM,2804NM,2926NM,3073NM,
163226,2874NM,2817NM,2890NM,2823NM,2974NM,3033NM,
163413,2853NM,2832NM,2911NM,2842NM,2989NM,3006NM,
163449,2890NM,2819NM,2846NM,2859NM,2924NM,3033NM,
163712,2926NM,2802NM,2819NM,2874NM,2968NM,3018NM,
163817,2907NM,2859NM,2918NM,2884NM,2993NM,3037NM,
163956,2936NM,2844NM,2878NM,2886NM,2916NM,3037NM,
164052,2926NM,2848NM,2861NM,2773NM,3000NM,3054NM,
