時間,軸1,軸2,軸3,軸4,軸5,軸6
085708,2894NM,2886NM,3084NM,2882NM,2882NM,3071NM,
085808,2901NM,2874NM,3098NM,2907NM,2945NM,3094NM,
085905,2892NM,2876NM,3075NM,2892NM,2880NM,3077NM,
113554,2895NM,2890NM,3100NM,2892NM,2899NM,3098NM,
113702,2888NM,2890NM,3083NM,2903NM,2880NM,3088NM,
113802,2886NM,2884NM,3130NM,2871NM,2878NM,3075NM,
114031,2892NM,2892NM,3084NM,2874NM,2888NM,3071NM,
114127,2892NM,2882NM,3083NM,2873NM,2907NM,3088NM,
114232,2890NM,2899NM,3079NM,2897NM,2890NM,3125NM,
114614,2888NM,2895NM,3071NM,2890NM,2895NM,3107NM,
114731,2880NM,2880NM,3094NM,2873NM,2874NM,3126NM,
114829,2895NM,2894NM,3069NM,2920NM,2911NM,3081NM,
114939,2972NM,2945NM,3102NM,2901NM,2941NM,3146NM,
142244,2894NM,2901NM,3088NM,2878NM,2882NM,3130NM,
142510,2888NM,2903NM,3092NM,2878NM,2888NM,3077NM,
142613,2880NM,2901NM,3090NM,2897NM,2884NM,3102NM,
142820,2876NM,2886NM,3096NM,2918NM,2937NM,3113NM,
143241,2899NM,2894NM,3071NM,2876NM,2888NM,3090NM,
143457,2886NM,2897NM,3090NM,2884NM,2886NM,3130NM,
143640,2905NM,2901NM,3084NM,2895NM,2884NM,3105NM,
143909,2890NM,2897NM,3037NM,2882NM,2894NM,3096NM,
144131,2878NM,2892NM,2983NM,2869NM,2890NM,3102NM,
144339,2915NM,2878NM,3002NM,2894NM,2867NM,3100NM,
144758,2890NM,2901NM,2999NM,2890NM,2888NM,3081NM,
145003,2903NM,2882NM,3105NM,2874NM,2894NM,3157NM,
145137,2918NM,2884NM,2978NM,2863NM,2890NM,3117NM,
145402,2882NM,2903NM,2987NM,2878NM,2903NM,3079NM,
145551,2880NM,2901NM,2978NM,2873NM,2886NM,3102NM,
145728,2890NM,2884NM,2976NM,2874NM,2884NM,3100NM,
145922,2895NM,2901NM,2993NM,2886NM,2892NM,3086NM,
150022,2878NM,2899NM,2981NM,2894NM,2880NM,3109NM,
150135,2930NM,2897NM,3060NM,2865NM,2903NM,3109NM,
150227,2890NM,2903NM,2972NM,2901NM,2916NM,3191NM,
152047,2892NM,2894NM,2981NM,2884NM,2895NM,3098NM,
152158,2949NM,2892NM,2985NM,2892NM,2905NM,3102NM,
152552,2882NM,2882NM,2989NM,2899NM,2890NM,3138NM,
152716,2892NM,2895NM,2976NM,2876NM,2882NM,3178NM,
152952,2934NM,2897NM,3012NM,2886NM,2894NM,3134NM,
154258,2892NM,2890NM,2993NM,2907NM,2894NM,3105NM,
154459,2897NM,2901NM,3006NM,2894NM,2899NM,3140NM,
154603,2882NM,2890NM,2983NM,2884NM,2897NM,3113NM,
154705,2886NM,2928NM,2991NM,2882NM,2888NM,3142NM,
155049,2932NM,2884NM,2978NM,2873NM,2882NM,3153NM,
155147,2886NM,2909NM,2999NM,2920NM,2903NM,3077NM,
155250,2894NM,2894NM,2979NM,2895NM,2886NM,3151NM,
155340,2878NM,2892NM,2983NM,2890NM,2878NM,3081NM,
155436,2884NM,2894NM,2985NM,2886NM,2876NM,3203NM,
155602,2894NM,2895NM,2979NM,2894NM,2880NM,3098NM,
155706,2895NM,2876NM,2985NM,2869NM,2901NM,3094NM,
155835,2903NM,2874NM,2979NM,2884NM,2882NM,3109NM,
155930,2NM,2892NM,2981NM,2890NM,2880NM,3134NM,
160046,2880NM,2920NM,2981NM,2899NM,2871NM,3109NM,
