時間,軸1,軸2,軸3,軸4,軸5,軸6
112540,2869NM,2769NM,2827NM,2852NM,3002NM,3062NM,
112800,2853NM,2825NM,2894NM,2836NM,2978NM,3056NM,
112858,2863NM,2808NM,2905NM,2848NM,2951NM,3065NM,
112927,2846NM,2790NM,2909NM,2852NM,2947NM,3025NM,
113044,2853NM,2829NM,2901NM,2817NM,3006NM,3069NM,
113116,2848NM,2808NM,2878NM,2853NM,3004NM,3023NM,
113218,2861NM,2834NM,2876NM,2859NM,2955NM,3062NM,
113251,2895NM,2790NM,2882NM,2909NM,2939NM,3048NM,
114115,2850NM,2802NM,2888NM,2823NM,2892NM,3021NM,
114212,2871NM,2821NM,2871NM,2810NM,2960NM,3067NM,
115621,2819NM,2804NM,2867NM,2817NM,2945NM,3042NM,
115905,2846NM,2829NM,2838NM,2810NM,2981NM,3048NM,
120044,2848NM,2777NM,2916NM,2852NM,2978NM,3050NM,
120110,2930NM,2808NM,2892NM,2905NM,3039NM,3023NM,
120828,2848NM,2844NM,2869NM,2811NM,3010NM,3054NM,
120855,2871NM,2821NM,2846NM,2823NM,2928NM,3050NM,
120942,2817NM,2808NM,2892NM,2844NM,2937NM,3077NM,
121011,2873NM,2811NM,2911NM,2842NM,3021NM,3029NM,
121052,2930NM,2859NM,2853NM,2783NM,2920NM,3063NM,
121119,2863NM,2787NM,2878NM,2794NM,3033NM,3062NM,
121223,2871NM,2808NM,2874NM,2829NM,3012NM,3050NM,
121250,2905NM,2817NM,2852NM,2852NM,3046NM,3033NM,
121344,2869NM,2811NM,2924NM,2804NM,2999NM,3012NM,
121410,2829NM,2821NM,2865NM,2905NM,3000NM,3041NM,
121504,2834NM,2829NM,2838NM,2863NM,2966NM,3014NM,
121533,2869NM,2838NM,2834NM,2842NM,2968NM,3065NM,
130341,2829NM,2800NM,2848NM,2869NM,2928NM,3023NM,
130408,2895NM,2796NM,2852NM,2789NM,2926NM,3081NM,
130454,2926NM,2819NM,2892NM,2853NM,3023NM,3060NM,
130520,2916NM,2804NM,2884NM,2792NM,3006NM,3054NM,
130605,2905NM,2827NM,2888NM,2861NM,3042NM,3083NM,
130632,2838NM,2789NM,2884NM,2876NM,2943NM,3048NM,
130732,2901NM,2804NM,2913NM,2813NM,2953NM,3096NM,
130759,2884NM,2867NM,2869NM,2842NM,2964NM,3021NM,
130907,2911NM,2810NM,2905NM,2831NM,2905NM,3029NM,
130935,2876NM,2796NM,2903NM,2871NM,2941NM,3042NM,
131016,2897NM,2873NM,2840NM,2842NM,2991NM,3014NM,
131126,2859NM,2825NM,2895NM,2859NM,3008NM,3033NM,
131159,2878NM,2796NM,2867NM,2811NM,2951NM,2999NM,
131237,2840NM,2838NM,2861NM,2771NM,2964NM,2991NM,
131350,2873NM,2769NM,2880NM,2871NM,2993NM,3008NM,
131417,2878NM,2827NM,2920NM,2804NM,3021NM,3048NM,
131905,2859NM,2958NM,2832NM,3033NM,2920NM,
131907,2859NM,2958NM,2832NM,3033NM,2920NM,2796NM,2958NM,3033NM,
132001,2916NM,2783NM,2876NM,2829NM,2985NM,3088NM,
132031,2853NM,2838NM,2857NM,2792NM,2995NM,3065NM,
132122,2928NM,2787NM,2867NM,2876NM,3018NM,3058NM,
132149,2867NM,2798NM,2861NM,2825NM,2932NM,3060NM,
132249,2918NM,2806NM,2846NM,2863NM,2918NM,3075NM,
132458,2867NM,2777NM,2844NM,2855NM,2930NM,3041NM,
132525,2869NM,2804NM,2857NM,2787NM,2968NM,3044NM,
132625,2915NM,2853NM,2840NM,2813NM,3006NM,3050NM,
132654,2846NM,2810NM,2853NM,2827NM,2934NM,3071NM,
132753,2934NM,2808NM,2850NM,2844NM,2934NM,3042NM,
132823,2855NM,2802NM,2855NM,2827NM,3002NM,3008NM,
132942,2911NM,2804NM,2848NM,2802NM,3031NM,3084NM,
133229,2918NM,2825NM,2911NM,2800NM,2970NM,2997NM,
133317,2869NM,2771NM,2894NM,2802NM,2983NM,3050NM,
133343,2878NM,2775NM,2813NM,2823NM,3023NM,3048NM,
133742,2871NM,2836NM,2842NM,2832NM,2968NM,3029NM,
133807,2922NM,2775NM,2951NM,2823NM,3000NM,3033NM,
134651,2932NM,2878NM,2871NM,2823NM,2922NM,3042NM,
134720,2920NM,2838NM,2865NM,2895NM,2943NM,3063NM,
135437,2852NM,2785NM,2903NM,2859NM,2997NM,3062NM,
135502,2852NM,2804NM,2939NM,2848NM,3021NM,3042NM,
135558,2886NM,2785NM,2865NM,2823NM,2978NM,3071NM,
135625,2834NM,2813NM,2853NM,2827NM,2960NM,3062NM,
135924,2882NM,2768NM,2913NM,2773NM,2962NM,3033NM,
135956,2905NM,2802NM,2888NM,2869NM,2958NM,3016NM,
140923,2943NM,2804NM,2873NM,2848NM,2993NM,3105NM,
140949,2869NM,2804NM,2842NM,2844NM,2937NM,2993NM,
141047,2928NM,2806NM,2892NM,2817NM,3065NM,3050NM,
141116,2888NM,2840NM,2857NM,2815NM,2993NM,3081NM,
142000,2894NM,2781NM,2880NM,2800NM,2989NM,3046NM,
142059,2869NM,2800NM,2852NM,2880NM,2997NM,3035NM,
142125,2871NM,2802NM,2878NM,2827NM,2916NM,3031NM,
142314,2848NM,2758NM,2903NM,2850NM,2962NM,3010NM,
142340,2897NM,2819NM,2871NM,2831NM,2960NM,3067NM,
142436,2821NM,2831NM,2825NM,2859NM,2932NM,3056NM,
142510,2848NM,2848NM,2867NM,2878NM,2993NM,3071NM,
142625,2886NM,2773NM,2867NM,2836NM,2951NM,3021NM,
142655,2903NM,2783NM,2848NM,2815NM,2937NM,3060NM,
143749,2945NM,3033NM,
143803,2853NM,2796NM,2821NM,2792NM,3020NM,3044NM,
144109,2947NM,3094NM,
144123,2890NM,2810NM,2905NM,2779NM,2979NM,3010NM,
144215,2880NM,2790NM,2894NM,2846NM,2979NM,3105NM,
144243,2899NM,2844NM,2878NM,2773NM,2945NM,3062NM,
144343,2878NM,2829NM,2832NM,2821NM,2947NM,3048NM,
144427,2848NM,2821NM,2892NM,2836NM,2949NM,3037NM,
144534,2846NM,2846NM,2936NM,2865NM,2987NM,0000NM,
145946,2852NM,2831NM,2897NM,2890NM,2970NM,3065NM,
150013,2829NM,2796NM,2905NM,2811NM,2905NM,3100NM,
151935,2888NM,2804NM,2953NM,2787NM,2993NM,3044NM,
152019,2924NM,2811NM,2846NM,2832NM,2960NM,3060NM,
152109,2859NM,2811NM,2832NM,2850NM,2983NM,3014NM,
152140,2937NM,2792NM,2855NM,2842NM,2972NM,3069NM,
152212,2899NM,2840NM,2829NM,2892NM,2981NM,3041NM,
152252,2920NM,2810NM,2846NM,2874NM,2926NM,3056NM,
152316,2876NM,2798NM,2825NM,2802NM,2922NM,3060NM,
152351,2937NM,2848NM,2850NM,2865NM,3027NM,3071NM,
152429,2897NM,2865NM,2886NM,2840NM,2974NM,3054NM,
152505,2857NM,2811NM,2836NM,2844NM,3014NM,3079NM,
152558,2882NM,2796NM,2831NM,2794NM,2955NM,3071NM,
152621,2913NM,2787NM,2874NM,2789NM,2976NM,2983NM,
152751,2939NM,2785NM,2848NM,2859NM,3029NM,3041NM,
152816,2865NM,2829NM,2888NM,2869NM,2979NM,3025NM,
152906,2882NM,2777NM,2821NM,2775NM,2924NM,3056NM,
152939,2903NM,2819NM,0000NM,2836NM,3039NM,3027NM,
153017,2863NM,2785NM,2848NM,2832NM,2928NM,3029NM,
153049,2859NM,2779NM,2901NM,2850NM,2989NM,3039NM,
153145,2861NM,2821NM,2850NM,2808NM,2968NM,3025NM,
153212,2909NM,2790NM,2852NM,2834NM,3008NM,3039NM,
153429,2859NM,2825NM,2916NM,2876NM,2979NM,3023NM,
153531,2863NM,2808NM,2920NM,2863NM,2966NM,3018NM,
153600,2834NM,2787NM,2878NM,2850NM,2955NM,3016NM,
153657,2848NM,2829NM,2918NM,2848NM,2932NM,3035NM,
153721,2846NM,2838NM,2905NM,2857NM,3006NM,3062NM,
153817,2876NM,2804NM,2874NM,2821NM,2964NM,2999NM,
153844,2911NM,2798NM,2855NM,2794NM,2953NM,3081NM,
153935,2840NM,2825NM,2892NM,2836NM,2953NM,3037NM,
154001,2857NM,2817NM,2861NM,2859NM,2960NM,3077NM,
154047,2863NM,2792NM,2861NM,2819NM,3002NM,3004NM,
154114,2878NM,2802NM,2821NM,2798NM,2918NM,3050NM,
154216,2853NM,2863NM,2852NM,2829NM,3000NM,3067NM,
154420,2884NM,2792NM,2829NM,2815NM,2951NM,3062NM,
154926,2916NM,2800NM,2831NM,2852NM,2989NM,3052NM,
154952,2899NM,2785NM,2834NM,2825NM,3016NM,3016NM,
155034,2907NM,2771NM,2928NM,2792NM,2953NM,3077NM,
155055,2871NM,2794NM,2922NM,2857NM,2991NM,3042NM,
155128,2846NM,2798NM,2873NM,2792NM,2962NM,3052NM,
155150,2832NM,2823NM,2853NM,2865NM,2997NM,3096NM,
155327,2924NM,2802NM,2869NM,2850NM,2960NM,3067NM,
155355,2901NM,2790NM,2890NM,2827NM,2934NM,3002NM,
155439,2852NM,2808NM,2939NM,2758NM,2951NM,3039NM,
155508,2932NM,2821NM,2819NM,2811NM,2976NM,3042NM,
155600,2895NM,2789NM,2903NM,2811NM,2983NM,3069NM,
155626,2876NM,2821NM,2909NM,2834NM,3033NM,3058NM,
155709,2924NM,2852NM,2880NM,2863NM,2997NM,3050NM,
155802,2909NM,2836NM,2861NM,2840NM,3000NM,3033NM,
160057,2873NM,2804NM,2831NM,2796NM,3031NM,3035NM,
160131,2869NM,2785NM,2842NM,2846NM,2937NM,3004NM,
160250,2907NM,2777NM,2844NM,2798NM,2953NM,3069NM,
160338,2842NM,2842NM,2832NM,2832NM,2922NM,3031NM,
160429,2934NM,2848NM,2932NM,2892NM,3008NM,3041NM,
160458,2821NM,2813NM,2869NM,2859NM,2949NM,3105NM,
160608,2861NM,2783NM,2848NM,2825NM,2926NM,3060NM,
160635,2861NM,2810NM,2840NM,2863NM,2989NM,3021NM,
160742,2831NM,2861NM,2930NM,2800NM,2985NM,3052NM,
160809,2863NM,2827NM,2863NM,2823NM,3002NM,3035NM,
160852,2852NM,2813NM,2844NM,2817NM,2968NM,3052NM,
160919,2886NM,2811NM,2855NM,2880NM,2936NM,3029NM,
161024,2827NM,2859NM,2865NM,2853NM,2981NM,3119NM,
161051,2876NM,2775NM,2936NM,2836NM,2930NM,3042NM,
