時間,軸1,軸2,軸3,軸4,軸5,軸6
092918,2794NM,2680NM,2798NM,2680NM,2775NM,3136NM,
092944,2785NM,2743NM,2811NM,2682NM,2825NM,3105NM,
093108,2771NM,2684NM,2785NM,2682NM,2852NM,3138NM,
093137,2800NM,2706NM,2789NM,2705NM,2844NM,3142NM,
093228,2779NM,2670NM,2790NM,2676NM,2783NM,3075NM,
093256,2798NM,2693NM,2808NM,2695NM,2775NM,3126NM,
093342,2800NM,2731NM,2815NM,2676NM,2798NM,3107NM,
093408,2806NM,2689NM,2773NM,2689NM,2800NM,3098NM,
093504,2827NM,2676NM,2777NM,2684NM,2790NM,3081NM,
093532,2800NM,2703NM,2785NM,2672NM,2777NM,3157NM,
093620,2808NM,2678NM,2792NM,2682NM,2853NM,3146NM,
093648,2810NM,2695NM,2798NM,2703NM,2796NM,3189NM,
093735,2789NM,2729NM,2777NM,2703NM,2785NM,3126NM,
093803,2798NM,2718NM,2779NM,2674NM,2769NM,3102NM,
093846,2789NM,2693NM,2792NM,2708NM,2796NM,3149NM,
094505,2850NM,2670NM,2796NM,2754NM,2873NM,3062NM,
094521,2794NM,2682NM,2794NM,2676NM,2848NM,3130NM,
094548,2832NM,2701NM,2787NM,2756NM,2808NM,3081NM,
094634,2825NM,2712NM,2785NM,2758NM,2771NM,3113NM,
094656,2798NM,2726NM,2779NM,2695NM,2853NM,3140NM,
094837,2781NM,2685NM,2766NM,2691NM,2766NM,3125NM,
094904,2798NM,2687NM,2798NM,2693NM,2815NM,3077NM,
094951,2810NM,2684NM,2794NM,2687NM,2790NM,3092NM,
095019,2789NM,2676NM,2832NM,2689NM,2777NM,3149NM,
095113,2779NM,2678NM,2792NM,2676NM,2808NM,3174NM,
095146,0000NM,2678NM,2794NM,2695NM,2806NM,3100NM,
095227,2790NM,2701NM,2825NM,2703NM,2785NM,3168NM,
095317,2783NM,2697NM,2802NM,2739NM,2779NM,3151NM,
095403,2777NM,2701NM,2863NM,2676NM,2775NM,3098NM,
095430,2789NM,2706NM,2785NM,2701NM,2813NM,3092NM,
095925,2831NM,2695NM,2790NM,2726NM,2813NM,3126NM,
095952,2785NM,2737NM,2840NM,2670NM,2855NM,3174NM,
100045,2819NM,2685NM,2777NM,2689NM,2861NM,3090NM,
100116,2810NM,2691NM,2848NM,2682NM,2808NM,3088NM,
100248,2773NM,2703NM,2808NM,2678NM,2756NM,3157NM,
100316,2873NM,2691NM,2787NM,2726NM,2800NM,3193NM,
100502,2777NM,2676NM,2832NM,2682NM,2773NM,3090NM,
100549,2796NM,2724NM,2773NM,2684NM,2790NM,3083NM,
100642,2779NM,2703NM,2773NM,2670NM,2773NM,3094NM,
100801,NNM,00000NM,0000NM,0000NM,0000NM,0000NM,
100807,2800NM,0000NM,2886NM,2712NM,2785NM,3172NM,
100843,2852NM,2689NM,2781NM,2682NM,2792NM,3083NM,
101054,2836NM,2748NM,2790NM,2685NM,2775NM,3100NM,
101119,2781NM,2689NM,2771NM,2676NM,2790NM,3081NM,
101217,0000NM,2685NM,2790NM,2699NM,2787NM,3111NM,
101258,2865NM,2731NM,0000NM,2701NM,2796NM,3079NM,
102033,2802NM,2701NM,2789NM,2705NM,2773NM,3132NM,
102129,0000NM,2678NM,2792NM,2706NM,2878NM,3119NM,
102219,2798NM,2743NM,2764NM,2712NM,2794NM,3111NM,
105929,2787NM,2701NM,2796NM,2703NM,2775NM,0000NM,
110002,2840NM,2705NM,2815NM,2705NM,2773NM,3084NM,
110045,2794NM,2703NM,2863NM,2682NM,2769NM,3086NM,
110138,2810NM,2706NM,2815NM,2682NM,2810NM,3079NM,
110204,2790NM,2689NM,2779NM,2685NM,2775NM,3138NM,
110251,2861NM,2691NM,2810NM,2716NM,2796NM,3083NM,
110318,2815NM,2689NM,2787NM,2718NM,2800NM,3098NM,
110400,2827NM,2682NM,2789NM,2701NM,2787NM,3115NM,
110427,2762NM,2695NM,2800NM,2699NM,2865NM,3146NM,
110512,2840NM,2682NM,2834NM,2745NM,2846NM,3243NM,
110535,2773NM,2682NM,2771NM,2727NM,2781NM,3094NM,
110639,2785NM,2674NM,2790NM,2752NM,2787NM,3144NM,
110706,1NM,2676NM,2802NM,2708NM,2766NM,3109NM,
110752,2800NM,2672NM,2855NM,2670NM,2817NM,3184NM,
110818,2777NM,2689NM,2790NM,2729NM,2869NM,3115NM,
110919,2775NM,2748NM,2794NM,2706NM,2777NM,3136NM,
112440,2792NM,2682NM,2781NM,2699NM,2796NM,3147NM,
112523,2886NM,2691NM,2802NM,2676NM,2779NM,3188NM,
112552,2844NM,2697NM,2800NM,2693NM,2771NM,3081NM,
122252,2777NM,2712NM,2831NM,2682NM,2779NM,3102NM,
131800,2790NM,2714NM,2863NM,2672NM,2817NM,3207NM,
131906,2798NM,2670NM,2781NM,2712NM,2853NM,3130NM,
132031,2804NM,2708NM,2798NM,2689NM,2806NM,3079NM,
132109,2815NM,2687NM,2773NM,2682NM,2777NM,3146NM,
132157,2789NM,2701NM,2781NM,2699NM,2775NM,3126NM,
132225,2823NM,2716NM,2794NM,2687NM,2768NM,3075NM,
132317,2842NM,2693NM,2787NM,2687NM,2821NM,3065NM,
132346,2790NM,2693NM,2800NM,2727NM,2800NM,3125NM,
132451,2785NM,2693NM,2796NM,2701NM,2815NM,3159NM,
132517,2773NM,2684NM,2798NM,2672NM,2768NM,3090NM,
